epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.82782096,0.070907705,0.1990452,0.03994865,10.0,-1.896437,0.0,50.0,0.1
1,0.8294366,0.07143245,0.19909179,0.039865885,20.0,-3.752116,0.1,100.0,0.04
2,0.8347171,0.07363274,0.20057727,0.048450872,30.0,-5.8821383,0.0,150.0,0.06
3,0.8349231,0.07232953,0.2007765,0.048453104,40.0,-7.5730276,0.1,200.0,0.08
4,0.8352063,0.075366914,0.20057592,0.051458072,50.0,-9.322538,0.0,250.0,0.06
5,0.8365722,0.07501051,0.20111972,0.0538992,60.0,-11.021702,0.1,300.0,0.02
6,0.8377695,0.07443126,0.20132953,0.053281303,70.0,-11.712144,0.1,350.0,0.06
7,0.83773273,0.073952086,0.20132585,0.05362604,80.0,-10.834708,0.2,400.0,0.04
8,0.8384826,0.07447427,0.20158817,0.054061197,90.0,-13.620184,0.1,450.0,0.08
9,0.83871394,0.07637591,0.20136192,0.057179894,100.0,-17.863739,0.0,500.0,0.02
10,0.8382361,0.07592255,0.2014009,0.05682913,110.0,-20.060804,0.0,550.0,0.08
11,0.8383629,0.07567715,0.2013562,0.05652957,120.0,-18.685556,0.0,600.0,0.14
12,0.83858293,0.07546737,0.20138386,0.056341782,130.0,-19.691494,0.1,650.0,0.06
13,0.83918,0.07507683,0.20159735,0.057002716,140.0,-18.511591,0.1,700.0,0.1
14,0.83851296,0.07472163,0.20142603,0.056773912,150.0,-23.669939,0.0,750.0,0.06
15,0.838171,0.07462195,0.20117557,0.05655425,160.0,-24.961094,0.0,800.0,0.1
16,0.83794826,0.07515469,0.20111078,0.05734253,170.0,-24.55731,0.0,850.0,0.08
17,0.837734,0.0748828,0.20083003,0.057562724,180.0,-22.572334,0.2,900.0,0.06
18,0.8377443,0.074566126,0.20081627,0.057019636,190.0,-21.49477,0.2,950.0,0.1
19,0.83777,0.0744425,0.20084941,0.056638643,200.0,-25.261774,0.0,1000.0,0.04
20,0.8378906,0.07431199,0.20095116,0.056485668,210.0,-30.250217,0.0,1050.0,0.06
21,0.83832264,0.07513703,0.20105891,0.057319526,220.0,-28.98849,0.0,1100.0,0.08
22,0.83861375,0.0756258,0.20104438,0.05812779,230.0,-30.39416,0.0,1150.0,0.12
23,0.83885914,0.075466596,0.20117037,0.058228992,240.0,-21.283457,0.2,1200.0,0.06
24,0.8389507,0.075802095,0.20124164,0.05812894,250.0,-25.40937,0.2,1250.0,0.06
25,0.839135,0.075572506,0.20131049,0.057776995,260.0,-31.464834,0.0,1300.0,0.04
26,0.83919626,0.07541851,0.20128112,0.057704125,270.0,-23.703587,0.2,1350.0,0.16
27,0.83929515,0.075305104,0.20131315,0.057574682,280.0,-30.051792,0.0,1400.0,0.02
28,0.8391141,0.07518772,0.20125428,0.057367936,290.0,-28.885473,0.1,1450.0,0.06
29,0.83948094,0.07573027,0.20137918,0.05775589,300.0,-31.729776,0.0,1500.0,0.04
30,0.8394225,0.07560122,0.20133685,0.057876907,310.0,-31.73417,0.0,1550.0,0.08
31,0.83950394,0.0755298,0.20139219,0.057967056,320.0,-26.864735,0.0,1600.0,0.1
32,0.83941364,0.075463526,0.20138909,0.058085907,330.0,-22.530205,0.2,1650.0,0.1
33,0.8395059,0.07531247,0.20145342,0.058494948,340.0,-26.581314,0.0,1700.0,0.14
34,0.8393631,0.0751685,0.20140265,0.059120428,350.0,-28.777426,0.1,1750.0,0.1
35,0.83935314,0.07557466,0.20142739,0.059187528,360.0,-28.305124,0.2,1800.0,0.1
36,0.83931476,0.075483255,0.20141202,0.05907655,370.0,-19.780254,0.3,1850.0,0.1
37,0.83930236,0.07543551,0.20146322,0.05964058,380.0,-31.258356,0.1,1900.0,0.1
38,0.8390944,0.07584394,0.20146379,0.060636472,390.0,-27.581985,0.0,1950.0,0.06
39,0.8390448,0.07576651,0.2014408,0.060506906,400.0,-32.22033,0.0,2000.0,0.04
40,0.83920836,0.07563274,0.20147353,0.060368907,410.0,-34.14361,0.0,2050.0,0.04
41,0.8391449,0.07593901,0.20146874,0.06052166,420.0,-38.38332,0.0,2100.0,0.12
42,0.83924204,0.07580561,0.20147257,0.060503207,430.0,-28.251331,0.1,2150.0,0.08
43,0.83915806,0.07577158,0.20146444,0.06040805,440.0,-25.788258,0.2,2200.0,0.06
44,0.83939344,0.076393,0.201534,0.061632343,450.0,-25.96232,0.3,2250.0,0.06
45,0.8394658,0.07671223,0.20155503,0.061896753,460.0,-28.595697,0.0,2300.0,0.02
46,0.83966875,0.076617315,0.20163319,0.062009647,470.0,-29.971737,0.1,2350.0,0.04
47,0.839382,0.076549925,0.20146763,0.062433157,480.0,-29.789944,0.1,2400.0,0.04
48,0.83925486,0.07650203,0.20143847,0.06266356,490.0,-35.779625,0.0,2450.0,0.08
49,0.8393356,0.0763798,0.20144679,0.06249973,500.0,-27.449636,0.1,2500.0,0.0
50,0.83942944,0.07628372,0.20147878,0.062496275,510.0,-28.933828,0.0,2550.0,0.04
51,0.83964825,0.07654232,0.20151429,0.06259489,520.0,-26.610495,0.2,2600.0,0.08
52,0.83953124,0.076455474,0.20144537,0.062610105,530.0,-33.711853,0.0,2650.0,0.06
53,0.8393204,0.07640237,0.20138477,0.06266594,540.0,-35.256645,0.0,2700.0,0.08
54,0.83945304,0.076298766,0.20142959,0.06256743,550.0,-32.670742,0.1,2750.0,0.08
55,0.83948785,0.076199055,0.20145673,0.06255571,560.0,-30.221386,0.0,2800.0,0.06
56,0.8393671,0.07617878,0.20143543,0.06256872,570.0,-32.129353,0.1,2850.0,0.06
57,0.8394204,0.07606539,0.20145968,0.06234896,580.0,-36.99741,0.0,2900.0,0.1
58,0.83932114,0.07667334,0.20146395,0.06293045,590.0,-32.161263,0.0,2950.0,0.06
59,0.83927447,0.07676757,0.2014616,0.062845595,600.0,-26.418692,0.2,3000.0,0.06
60,0.8393143,0.0766527,0.20147263,0.062681824,610.0,-32.790833,0.0,3050.0,0.16
61,0.8392611,0.07691598,0.20152253,0.063313276,620.0,-30.948801,0.1,3100.0,0.06
62,0.83914894,0.076845475,0.20149802,0.0631442,630.0,-27.522335,0.0,3150.0,0.12
63,0.8391175,0.07696744,0.20150013,0.06337541,640.0,-34.521683,0.0,3200.0,0.04
64,0.8392458,0.07719133,0.20158575,0.06371007,650.0,-30.72207,0.0,3250.0,0.1
65,0.83923084,0.07743252,0.20159557,0.063878834,660.0,-29.85957,0.0,3300.0,0.06
66,0.839166,0.07754681,0.20161648,0.06394348,670.0,-27.959595,0.3,3350.0,0.1
67,0.8389363,0.078175284,0.20159224,0.064156316,680.0,-28.803165,0.2,3400.0,0.14
68,0.8388521,0.07833896,0.20154516,0.06453767,690.0,-22.87924,0.1,3450.0,0.08
69,0.8389706,0.078513525,0.20153566,0.06481116,700.0,-34.7118,0.0,3500.0,0.08
70,0.83888245,0.07888005,0.20154373,0.06494446,710.0,-32.79899,0.0,3550.0,0.06
71,0.83894295,0.0787913,0.20156826,0.06490275,720.0,-31.76423,0.1,3600.0,0.1
72,0.83891016,0.078702584,0.20155756,0.06472289,730.0,-31.561426,0.1,3650.0,0.06
73,0.8388482,0.078690544,0.20150301,0.064842746,740.0,-33.88703,0.0,3700.0,0.04
74,0.838861,0.078626074,0.20147139,0.06492153,750.0,-36.92244,0.0,3750.0,0.02
75,0.8388393,0.078589395,0.20149961,0.06487958,760.0,-30.953342,0.0,3800.0,0.06
76,0.8389842,0.07851506,0.20152387,0.064761035,770.0,-26.990353,0.2,3850.0,0.04
77,0.8389049,0.078439,0.201505,0.064591706,780.0,-29.081608,0.1,3900.0,0.04
