epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8303278,0.07173272,0.19844294,0.039505247,10.0,-2.6960459,0.0,50.0,0.08
1,0.8346782,0.070894234,0.19987507,0.03900619,20.0,-3.868409,0.0,100.0,0.02
2,0.83630586,0.070224114,0.20015445,0.04231701,30.0,-6.2158594,0.0,150.0,0.0
3,0.83485764,0.06960271,0.1998233,0.04540062,40.0,-8.055893,0.1,200.0,0.04
4,0.83416265,0.069746025,0.19967353,0.04417939,50.0,-10.1225605,0.0,250.0,0.0
5,0.83504206,0.0701807,0.2001877,0.047249917,60.0,-11.538972,0.1,300.0,0.1
6,0.835993,0.070286654,0.20023565,0.047361016,70.0,-12.005384,0.1,350.0,0.1
7,0.83613604,0.070069365,0.20031075,0.04646758,80.0,-15.586039,0.0,400.0,0.08
8,0.8374514,0.07033525,0.20070486,0.047533665,90.0,-15.96449,0.0,450.0,0.06
9,0.83718425,0.07025029,0.2007229,0.0474327,100.0,-15.4526415,0.1,500.0,0.08
10,0.83746046,0.070323735,0.20081432,0.047724362,110.0,-17.06028,0.1,550.0,0.08
11,0.83856994,0.07021574,0.20112112,0.047753114,120.0,-19.195026,0.1,600.0,0.08
12,0.8386812,0.07023877,0.20126031,0.047907896,130.0,-18.657734,0.1,650.0,0.04
13,0.83862895,0.07023183,0.20134851,0.049262963,140.0,-21.066372,0.1,700.0,0.08
14,0.83885837,0.07009139,0.20139027,0.04900691,150.0,-23.901402,0.0,750.0,0.08
15,0.83837134,0.0699748,0.20127162,0.04868031,160.0,-24.30408,0.0,800.0,0.08
16,0.837883,0.069981195,0.20114821,0.04850652,170.0,-25.588408,0.0,850.0,0.08
17,0.83754176,0.07007149,0.2008518,0.050259296,180.0,-22.756964,0.2,900.0,0.04
18,0.83776116,0.06995754,0.20088919,0.050116006,190.0,-26.1086,0.0,950.0,0.16
