epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84768945,0.10292524,0.8499008,0.12687255,0.20588228,0.08515057,10.0,-2.011183,0.0,50.0,0.04
1,0.8387961,0.15207343,0.8420438,0.1772225,0.20430253,0.12116329,20.0,-4.063245,0.0,100.0,0.02
2,0.8304785,0.1617665,0.8331271,0.18961,0.20428473,0.13348019,30.0,-5.3585157,0.0,150.0,0.02
3,0.82574254,0.16416664,0.8276389,0.19129556,0.20545585,0.1410838,40.0,-6.9113526,0.1,200.0,0.04
4,0.8249643,0.16660593,0.82619905,0.19419093,0.2048363,0.14356032,50.0,-5.1369257,0.1,250.0,0.0
5,0.82442075,0.17318906,0.8254094,0.20103419,0.20331453,0.14933234,60.0,-6.0891547,0.0,300.0,0.0
6,0.8228409,0.17685743,0.8237558,0.20534901,0.20198113,0.15273722,70.0,-8.463594,0.0,350.0,0.08
7,0.8236597,0.1779011,0.8242376,0.2066796,0.20161778,0.15503538,80.0,-11.202043,0.0,400.0,0.02
8,0.8234393,0.17680244,0.82403064,0.20588796,0.20270568,0.15619422,90.0,-10.077666,0.1,450.0,0.08
9,0.822427,0.17771101,0.8236141,0.20682718,0.20151201,0.15791889,100.0,-11.5495205,0.1,500.0,0.1
10,0.82288593,0.1775872,0.82453656,0.2065019,0.20123947,0.16031182,110.0,-10.213204,0.1,550.0,0.14
11,0.82195467,0.17577742,0.82382554,0.20481451,0.20125987,0.16056578,120.0,-14.122066,0.0,600.0,0.06
12,0.82164603,0.17344229,0.82352525,0.20246197,0.20138119,0.15985504,130.0,-9.45119,0.2,650.0,0.12
13,0.82237387,0.17057286,0.8244924,0.19936149,0.20226519,0.1587718,140.0,-14.087624,0.1,700.0,0.12
14,0.8225813,0.16994153,0.8245695,0.19812407,0.2017332,0.15973729,150.0,-11.900633,0.2,750.0,0.2
15,0.8224371,0.16974735,0.8244601,0.19759865,0.2017786,0.16067295,160.0,-15.243116,0.0,800.0,0.1
16,0.8230397,0.16786988,0.8250966,0.19571334,0.20220043,0.16023453,170.0,-6.7197456,0.4,850.0,0.16
17,0.82269794,0.16593806,0.82476425,0.19341733,0.20213352,0.16009755,180.0,-8.819413,0.5,900.0,0.16
18,0.8237849,0.166024,0.82576424,0.19272768,0.20249699,0.16035171,190.0,-9.312301,0.2,950.0,0.26
19,0.8245039,0.16465624,0.8264994,0.19184583,0.20274457,0.16039826,200.0,-11.771014,0.1,1000.0,0.14
20,0.8243858,0.16384652,0.8264834,0.19089301,0.20285714,0.1600885,210.0,-5.999147,0.5,1050.0,0.26
21,0.82451826,0.16420972,0.82648474,0.19155826,0.20367059,0.16135952,220.0,-5.1379137,0.4,1100.0,0.16
22,0.8251109,0.16338874,0.82712775,0.19068967,0.20359665,0.16087082,230.0,-8.496528,0.4,1150.0,0.26
23,0.8254145,0.161878,0.82764864,0.18926758,0.20396322,0.16009945,240.0,-8.930189,0.3,1200.0,0.24
24,0.8255361,0.16186404,0.8277616,0.18922906,0.20423631,0.15994275,250.0,-9.342898,0.1,1250.0,0.18
25,0.8262269,0.16102487,0.8283317,0.1881222,0.20404544,0.15992709,260.0,-12.430895,0.1,1300.0,0.3
26,0.82696456,0.16055506,0.829278,0.18778348,0.20436716,0.15991291,270.0,-5.6302443,0.4,1350.0,0.22
27,0.8266778,0.1609612,0.8290267,0.18811785,0.2042309,0.15961589,280.0,-9.123071,0.4,1400.0,0.2
28,0.82650405,0.1604976,0.82888514,0.18773599,0.20427197,0.15988201,290.0,-7.186329,0.3,1450.0,0.14
29,0.8267773,0.16033725,0.8291831,0.18754606,0.2041834,0.15997152,300.0,-1.8122597,0.8,1500.0,0.3
30,0.8273013,0.15982288,0.8296678,0.18683736,0.20431976,0.15941478,310.0,-9.098862,0.1,1550.0,0.26
31,0.8275037,0.15925886,0.8299869,0.18609746,0.20450342,0.15876636,320.0,-4.68226,0.5,1600.0,0.3
32,0.8279491,0.15822668,0.8305278,0.18490525,0.20467286,0.15840143,330.0,-3.4034183,0.7,1650.0,0.3
33,0.82845885,0.15699019,0.83091754,0.18343781,0.20457487,0.1580021,340.0,-3.921476,0.8,1700.0,0.42
34,0.82897663,0.15626289,0.8315864,0.18260352,0.20475805,0.15777549,350.0,-7.5842104,0.4,1750.0,0.3
35,0.8292857,0.15568613,0.8320593,0.18190116,0.20474891,0.15776622,360.0,-11.710377,0.3,1800.0,0.22
36,0.83009124,0.15544768,0.8328891,0.18150799,0.20507808,0.15744455,370.0,-5.9108367,0.6,1850.0,0.26
37,0.8305185,0.15442665,0.8333826,0.1802301,0.20538107,0.15686367,380.0,-9.0663395,0.5,1900.0,0.38
38,0.83093476,0.15370956,0.8338952,0.17933656,0.20527245,0.15670502,390.0,-8.954936,0.4,1950.0,0.32
39,0.83127856,0.15315941,0.8342056,0.1786621,0.20539804,0.15633634,400.0,-11.4379225,0.4,2000.0,0.18
40,0.8317742,0.15259412,0.83468515,0.17798917,0.20547076,0.1562322,410.0,-9.560003,0.3,2050.0,0.32
41,0.83212084,0.1517846,0.8350702,0.17716318,0.20556238,0.1558007,420.0,-8.796999,0.6,2100.0,0.38
42,0.83236384,0.15169403,0.8355549,0.17707509,0.20555808,0.15594648,430.0,-8.484254,0.4,2150.0,0.32
43,0.8326967,0.15133716,0.8361025,0.1766804,0.20568132,0.15567093,440.0,-8.4629,0.3,2200.0,0.36
44,0.83263206,0.15119438,0.8359677,0.17644559,0.20563692,0.15560682,450.0,-7.3844895,0.5,2250.0,0.4
45,0.83283216,0.15111999,0.8361292,0.1761917,0.20569503,0.15555961,460.0,-4.073799,0.8,2300.0,0.3
46,0.8332078,0.15054329,0.83663684,0.17548926,0.20581943,0.155417,470.0,-6.2560315,0.6,2350.0,0.26
