epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84442025,0.09178349,0.20366344,0.04454672,10.0,-1.8779705,0.0,50.0,0.06
1,0.84637827,0.09036941,0.20461418,0.0413626,20.0,-4.308948,0.0,100.0,0.02
2,0.8471298,0.09158063,0.20463237,0.040504213,30.0,-6.089383,0.0,150.0,0.0
3,0.8455414,0.0922279,0.20418683,0.040520262,40.0,-7.3762984,0.1,200.0,0.0
4,0.8436405,0.09710594,0.20361607,0.04590654,50.0,-9.114245,0.0,250.0,0.02
5,0.8449113,0.09600722,0.20387909,0.046148017,60.0,-11.178265,0.0,300.0,0.1
6,0.84522676,0.09611001,0.2041811,0.050689317,70.0,-11.834946,0.1,350.0,0.06
7,0.8439817,0.09554129,0.20368063,0.051261675,80.0,-15.243948,0.0,400.0,0.04
8,0.8451416,0.096037485,0.20379664,0.051470444,90.0,-15.473773,0.0,450.0,0.04
9,0.8452161,0.09659252,0.20408624,0.05498058,100.0,-16.312895,0.0,500.0,0.04
10,0.84531045,0.097055055,0.203999,0.05545405,110.0,-16.764551,0.1,550.0,0.04
11,0.84467816,0.097741984,0.2038335,0.06075452,120.0,-15.950449,0.1,600.0,0.08
12,0.84449285,0.097248845,0.20379834,0.061915495,130.0,-20.153723,0.1,650.0,0.02
13,0.84437484,0.09882343,0.20372364,0.065799825,140.0,-21.231726,0.0,700.0,0.0
14,0.84523064,0.09903363,0.20398208,0.06660277,150.0,-20.570278,0.0,750.0,0.0
15,0.8447878,0.09871573,0.20388626,0.066140145,160.0,-15.570513,0.2,800.0,0.02
16,0.84487104,0.098375656,0.2040617,0.06677454,170.0,-20.814701,0.0,850.0,0.0
17,0.8450279,0.098129995,0.2042368,0.06708538,180.0,-26.294867,0.0,900.0,0.06
18,0.8447538,0.099095434,0.2041808,0.068168096,190.0,-27.057636,0.0,950.0,0.04
19,0.8440406,0.10051604,0.20404822,0.07000166,200.0,-23.388031,0.0,1000.0,0.02
20,0.8442812,0.1004645,0.20416477,0.07048531,210.0,-19.401161,0.1,1050.0,0.04
21,0.8444598,0.1002928,0.20430803,0.070892416,220.0,-19.304571,0.0,1100.0,0.02
22,0.8443523,0.09996906,0.20421825,0.07090776,230.0,-24.294186,0.0,1150.0,0.08
23,0.844341,0.10013626,0.20408152,0.07064558,240.0,-28.014568,0.0,1200.0,0.02
24,0.84369874,0.10020051,0.20388769,0.070450224,250.0,-25.016644,0.0,1250.0,0.04
