epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
50,0.83897036,0.10163472,0.8371133,0.10995755,0.20316881,0.14423746,510.0,-0.9601369,1.0,2550.0,0.48
51,0.8388588,0.10193061,0.83692247,0.110197596,0.20309864,0.14476627,520.0,-1.1154202,1.0,2600.0,0.48
52,0.83878344,0.101533644,0.8369648,0.10972401,0.20306401,0.14470398,530.0,-1.0903056,1.0,2650.0,0.6
53,0.8388037,0.101393014,0.83695847,0.10956899,0.2031304,0.14474207,540.0,-1.5904706,1.0,2700.0,0.56
54,0.8389118,0.10144112,0.83713704,0.109595336,0.20315334,0.14507496,550.0,-1.174578,1.0,2750.0,0.44
55,0.83906156,0.101192765,0.83742005,0.10926854,0.20328978,0.14499071,560.0,-1.0675318,1.0,2800.0,0.5
56,0.839081,0.10082424,0.83759266,0.10887102,0.20317058,0.14508778,570.0,-1.52087,0.9,2850.0,0.56
57,0.8389835,0.100640714,0.83741903,0.108639516,0.20307373,0.14535618,580.0,-1.3183035,1.0,2900.0,0.64
58,0.8388383,0.1005204,0.8373075,0.108451724,0.20314634,0.14565109,590.0,-0.7080818,1.0,2950.0,0.58
59,0.83892584,0.10031933,0.83735466,0.10817825,0.20318043,0.1455926,600.0,-1.0464303,1.0,3000.0,0.44
60,0.83905727,0.1003372,0.8374894,0.108269006,0.20316549,0.14549609,610.0,-1.0326295,1.0,3050.0,0.46
61,0.83909154,0.10008251,0.83755153,0.1080361,0.20333815,0.14565712,620.0,-1.3573908,1.0,3100.0,0.46
62,0.8391192,0.10044166,0.8375737,0.10836486,0.20333578,0.1457846,630.0,-0.9988449,1.0,3150.0,0.42
63,0.8393581,0.10044534,0.83784074,0.108361416,0.2034239,0.14549698,640.0,-1.2430136,1.0,3200.0,0.5
64,0.8394506,0.10023395,0.83789253,0.1081407,0.20341568,0.14528579,650.0,-1.0274814,1.0,3250.0,0.6
65,0.83950424,0.100119494,0.838064,0.10801347,0.20342918,0.14538419,660.0,-1.2763052,1.0,3300.0,0.5
66,0.83955026,0.09996313,0.8380873,0.107909136,0.20337676,0.14541848,670.0,-1.5944812,1.0,3350.0,0.56
67,0.8396041,0.0998438,0.8381529,0.10782709,0.20328766,0.14539026,680.0,-1.1483209,1.0,3400.0,0.44
68,0.8396189,0.0997631,0.83820504,0.10771707,0.20326118,0.14530452,690.0,-1.222659,1.0,3450.0,0.42
69,0.83965045,0.09950911,0.8383141,0.107382625,0.20336317,0.14530665,700.0,-1.7609075,1.0,3500.0,0.44
70,0.8397203,0.099430524,0.8384466,0.10731145,0.20344067,0.14534587,710.0,-1.1518766,1.0,3550.0,0.5
71,0.83976954,0.09945118,0.83841294,0.10729734,0.20365709,0.14562465,720.0,-1.1821641,1.0,3600.0,0.48
72,0.83981055,0.099239685,0.83847237,0.107052244,0.20359512,0.14532737,730.0,-1.2019234,1.0,3650.0,0.56
73,0.8398795,0.09929234,0.83860254,0.10705493,0.20359139,0.14552176,740.0,-0.8162676,1.0,3700.0,0.52
74,0.83985543,0.09907154,0.83857304,0.106788,0.20349652,0.14556693,750.0,-0.8083248,1.0,3750.0,0.58
75,0.8398387,0.09901789,0.8386097,0.10669609,0.20348282,0.14559522,760.0,-0.72612715,1.0,3800.0,0.4
76,0.83983535,0.09905032,0.8386214,0.106657885,0.20346238,0.14562555,770.0,-1.4432328,1.0,3850.0,0.42
77,0.8397859,0.098927654,0.8386118,0.10646737,0.20348084,0.14579597,780.0,-1.2570074,1.0,3900.0,0.56
78,0.83985806,0.09876037,0.8386949,0.106273204,0.2035446,0.14586738,790.0,-2.8132708,0.9,3950.0,0.42
79,0.83985424,0.0985603,0.83867246,0.10601222,0.20356834,0.1457029,800.0,-0.7844523,1.0,4000.0,0.62
80,0.83986765,0.09865543,0.8386893,0.10609489,0.20348428,0.14582093,810.0,-1.4369619,1.0,4050.0,0.52
81,0.83987904,0.09849072,0.83871317,0.10588399,0.20349096,0.14564879,820.0,-1.2207731,1.0,4100.0,0.64
82,0.83998185,0.09855956,0.83880407,0.105908014,0.20367593,0.1457312,830.0,-1.2690766,1.0,4150.0,0.58
83,0.8399268,0.09857366,0.8388036,0.105930336,0.20363908,0.1456239,840.0,-1.5893656,1.0,4200.0,0.4
84,0.8398984,0.09843718,0.83875734,0.10577625,0.2036799,0.14554209,850.0,-1.225,1.0,4250.0,0.64
85,0.839952,0.09836916,0.83877605,0.10563177,0.20365515,0.1456737,860.0,-0.9263191,1.0,4300.0,0.64
86,0.83983344,0.09830475,0.8386629,0.10561363,0.20364934,0.14564912,870.0,-1.1493489,1.0,4350.0,0.52
87,0.83990675,0.098417915,0.83877116,0.10575396,0.20369433,0.14570592,880.0,-1.0810465,1.0,4400.0,0.44
88,0.8399158,0.09828562,0.8387808,0.1055922,0.20370254,0.14564031,890.0,-0.6793806,1.0,4450.0,0.44
89,0.8398654,0.098409735,0.8387192,0.10569712,0.20367184,0.14562467,900.0,-1.0109609,1.0,4500.0,0.54
90,0.8398718,0.09819698,0.838799,0.105429314,0.20372562,0.14563985,910.0,-0.88646346,1.0,4550.0,0.66
91,0.83972144,0.09822912,0.8386232,0.105398186,0.20372596,0.14561391,920.0,-1.1694452,1.0,4600.0,0.56
92,0.83977336,0.098195076,0.8386697,0.10536084,0.20365433,0.14558224,930.0,-1.0250361,1.0,4650.0,0.52
93,0.83982563,0.098134406,0.8387575,0.10527357,0.20360236,0.14562078,940.0,-0.90841264,1.0,4700.0,0.54
