epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
51,0.8265538,0.1472909,0.82881147,0.17168266,0.20338215,0.14769164,520.0,-4.501491,0.4,2600.0,0.44
52,0.8265748,0.14663364,0.82887524,0.17101364,0.20342329,0.14728528,530.0,-3.2964635,0.7,2650.0,0.46
53,0.8268003,0.14605786,0.8291505,0.17030661,0.20337527,0.1470899,540.0,-4.119577,0.8,2700.0,0.42
54,0.8270592,0.14551088,0.82945603,0.16961682,0.20346953,0.1468297,550.0,-3.0297422,0.8,2750.0,0.54
55,0.8270571,0.14506894,0.82958245,0.16927046,0.20340216,0.14652838,560.0,-5.610626,0.5,2800.0,0.28
56,0.8274035,0.14495742,0.83001035,0.16896689,0.20353916,0.14649771,570.0,-5.6039953,0.7,2850.0,0.42
57,0.82766694,0.14471881,0.8302944,0.16856013,0.20372412,0.1463862,580.0,-3.8819165,0.8,2900.0,0.48
58,0.827969,0.1442229,0.8306916,0.16791499,0.20387548,0.1462479,590.0,-7.4422827,0.4,2950.0,0.46
59,0.8280603,0.14400779,0.83082175,0.1675617,0.20386964,0.14618546,600.0,-3.6737297,0.8,3000.0,0.34
60,0.8283152,0.14365098,0.8311774,0.1670978,0.20391312,0.14615238,610.0,-2.7935107,0.9,3050.0,0.42
61,0.82855207,0.14312626,0.83141977,0.16644856,0.20392567,0.14576969,620.0,-1.1961404,0.8,3100.0,0.48
62,0.8290135,0.14258984,0.8319362,0.16578352,0.20388773,0.14557974,630.0,-3.087751,0.8,3150.0,0.56
63,0.8291199,0.14254473,0.8321163,0.16561699,0.20360824,0.1454062,640.0,-3.036448,0.7,3200.0,0.34
64,0.82945347,0.14235187,0.8325579,0.16530435,0.20369194,0.14520311,650.0,-1.0757589,0.8,3250.0,0.52
65,0.82967395,0.14172633,0.8328394,0.16454025,0.2036538,0.14479089,660.0,-1.2933573,0.7,3300.0,0.52
66,0.8298362,0.14147207,0.83294815,0.16422683,0.2036632,0.1446858,670.0,-2.3002868,0.7,3350.0,0.38
67,0.83005434,0.1414033,0.83318716,0.16402361,0.20358875,0.14454539,680.0,-1.2808644,1.0,3400.0,0.5
68,0.8305444,0.14101662,0.8337531,0.16346987,0.20359626,0.144201,690.0,-2.2627733,0.8,3450.0,0.64
69,0.83072805,0.14051062,0.833991,0.16281416,0.20369613,0.14384632,700.0,-1.588914,0.7,3500.0,0.52
70,0.8308489,0.14039908,0.8341229,0.16259027,0.20375578,0.14366244,710.0,-2.339934,0.8,3550.0,0.48
71,0.8310773,0.1401189,0.8344347,0.16221157,0.20378712,0.14345546,720.0,-2.6006114,0.8,3600.0,0.5
72,0.8313138,0.13999814,0.834735,0.1619967,0.20379156,0.14343852,730.0,-1.1062928,1.0,3650.0,0.44
73,0.8316071,0.13964881,0.8351214,0.1616308,0.20380674,0.14326721,740.0,-1.5333226,1.0,3700.0,0.48
74,0.83164996,0.13936709,0.83517987,0.16121523,0.2037462,0.14304473,750.0,-1.5784665,1.0,3750.0,0.52
75,0.8317697,0.13907981,0.8352439,0.16084296,0.20367412,0.14293644,760.0,-1.4226348,1.0,3800.0,0.42
76,0.83201545,0.13882084,0.8355596,0.16048695,0.20366383,0.14280245,770.0,-1.6827476,0.9,3850.0,0.48
77,0.83214664,0.13872151,0.83572704,0.16029187,0.20370533,0.14263736,780.0,-3.8835206,0.8,3900.0,0.36
78,0.8322227,0.13863394,0.8358057,0.160079,0.2036179,0.14262205,790.0,-1.3346163,0.9,3950.0,0.58
79,0.8324211,0.1385533,0.8361197,0.15992539,0.20367362,0.14246328,800.0,-1.2941114,0.8,4000.0,0.44
80,0.8326407,0.13827273,0.83649945,0.15957488,0.20370972,0.14223368,810.0,-1.5436457,0.9,4050.0,0.38
81,0.83307654,0.13802609,0.8370171,0.15920846,0.20383844,0.14197211,820.0,-0.71017253,0.9,4100.0,0.4
