epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84429145,0.086010195,0.8528052,0.113451846,0.20545596,0.07659481,10.0,-2.197782,0.0,50.0,0.02
1,0.8163946,0.15311237,0.8195668,0.18315828,0.1980938,0.13455349,20.0,-3.2108245,0.1,100.0,0.06
2,0.8170078,0.17271243,0.81994367,0.20325167,0.20078763,0.15157996,30.0,-4.525008,0.0,150.0,0.02
3,0.8160228,0.17678384,0.81727487,0.20698889,0.20089853,0.15499966,40.0,-5.0178027,0.1,200.0,0.0
4,0.8172803,0.1829514,0.817983,0.21439637,0.20105955,0.15614665,50.0,-7.8481355,0.0,250.0,0.0
5,0.8171714,0.18633729,0.81804174,0.21787418,0.20249225,0.15828495,60.0,-7.8041053,0.0,300.0,0.02
6,0.81798553,0.18672776,0.8180463,0.21789308,0.20305115,0.16066618,70.0,-7.562809,0.2,350.0,0.04
7,0.81991243,0.1845607,0.8195522,0.21650617,0.20339936,0.1618977,80.0,-9.831849,0.2,400.0,0.08
8,0.81892353,0.18231831,0.8188622,0.21411,0.202453,0.16223615,90.0,-8.481657,0.0,450.0,0.06
9,0.82134753,0.18310551,0.8216441,0.215226,0.20259707,0.16291493,100.0,-7.4868445,0.1,500.0,0.04
10,0.81996983,0.18373002,0.8203103,0.21536241,0.20232536,0.1633027,110.0,-9.847854,0.2,550.0,0.14
11,0.8200601,0.18141818,0.82036877,0.21270394,0.20288047,0.16335274,120.0,-10.348408,0.1,600.0,0.14
12,0.8205922,0.1807915,0.8210106,0.21166898,0.20397532,0.16388048,130.0,-13.567072,0.2,650.0,0.18
13,0.81925803,0.17894989,0.81927115,0.20910811,0.20333241,0.16414577,140.0,-13.76917,0.0,700.0,0.24
14,0.8197133,0.1792957,0.82004386,0.20941187,0.20239437,0.16429836,150.0,-6.3748426,0.4,750.0,0.12
15,0.8188808,0.17914014,0.81958896,0.20921516,0.2025421,0.16516326,160.0,-11.211176,0.2,800.0,0.14
16,0.8197053,0.17712425,0.82056767,0.2072183,0.20259562,0.16473451,170.0,-11.691277,0.4,850.0,0.22
17,0.82044363,0.17577015,0.821553,0.20585716,0.2028287,0.16357107,180.0,-9.449038,0.2,900.0,0.24
18,0.8213554,0.17477055,0.8226239,0.20479429,0.20306171,0.1630432,190.0,-7.433397,0.5,950.0,0.16
19,0.8212177,0.17418934,0.8223184,0.2043339,0.20293432,0.16281421,200.0,-2.6819577,0.8,1000.0,0.3
20,0.82193923,0.17321472,0.8231223,0.20299624,0.20311418,0.16263704,210.0,-3.8093445,0.8,1050.0,0.3
21,0.8218598,0.17247415,0.82278085,0.20232384,0.20294544,0.16235179,220.0,-3.341484,0.4,1100.0,0.24
22,0.8225753,0.1705931,0.8233003,0.20048225,0.20315014,0.16132674,230.0,-10.17387,0.4,1150.0,0.26
23,0.82293516,0.16882013,0.8237609,0.19869797,0.20336077,0.16043529,240.0,-7.048664,0.6,1200.0,0.34
24,0.8226681,0.168339,0.82356566,0.1976781,0.20335257,0.1605447,250.0,-5.9519043,0.5,1250.0,0.24
25,0.8228434,0.16753678,0.8237691,0.1968237,0.20327222,0.15984243,260.0,-10.063715,0.5,1300.0,0.28
26,0.82250947,0.16697817,0.8235118,0.19599463,0.2028834,0.15950724,270.0,-10.727738,0.5,1350.0,0.28
27,0.8223334,0.16628766,0.8236249,0.19498044,0.20305094,0.15914556,280.0,-7.2733583,0.6,1400.0,0.34
28,0.82198566,0.16675186,0.8232417,0.19527094,0.20288324,0.15865007,290.0,-7.5395203,0.7,1450.0,0.36
29,0.82215995,0.16524445,0.8234536,0.19363715,0.20262688,0.15819605,300.0,-2.8528438,0.8,1500.0,0.42
30,0.8221986,0.1652164,0.82378143,0.19319694,0.20270765,0.1577907,310.0,-15.340182,0.3,1550.0,0.3
31,0.8226781,0.16351359,0.824452,0.19123758,0.20299616,0.15740274,320.0,-10.528947,0.6,1600.0,0.38
32,0.8231426,0.16352145,0.82485867,0.19078566,0.20317699,0.15738724,330.0,-11.907457,0.5,1650.0,0.38
33,0.8233835,0.16252272,0.8251905,0.18946026,0.20329584,0.15702039,340.0,-9.261354,0.2,1700.0,0.42
34,0.8236396,0.16209047,0.825572,0.18892293,0.20339376,0.15665135,350.0,-5.0302114,0.8,1750.0,0.34
35,0.8238774,0.1618247,0.8258236,0.1884665,0.20348433,0.1565226,360.0,-5.1667643,0.8,1800.0,0.34
36,0.8240793,0.16097672,0.8261164,0.18752511,0.20344074,0.1558602,370.0,-11.221348,0.6,1850.0,0.42
37,0.82448035,0.16018032,0.8266337,0.18650861,0.20343441,0.1552603,380.0,-10.727133,0.6,1900.0,0.38
38,0.82436305,0.15999348,0.8264992,0.18616994,0.2034025,0.1550834,390.0,-2.1749597,0.9,1950.0,0.44
39,0.8244924,0.15918903,0.8268056,0.18537287,0.20345894,0.1544814,400.0,-6.7017274,0.7,2000.0,0.38
40,0.8246165,0.15969254,0.82681894,0.18572454,0.20364706,0.15449952,410.0,-2.7704585,0.9,2050.0,0.48
41,0.8246525,0.15914185,0.8270053,0.18508343,0.20352516,0.15451092,420.0,-5.2534018,0.7,2100.0,0.42
42,0.8247783,0.15930851,0.8270931,0.18541317,0.203437,0.15451019,430.0,-5.815051,0.7,2150.0,0.28
43,0.825193,0.15831526,0.8275921,0.18429,0.20359802,0.15404917,440.0,-4.3931465,0.7,2200.0,0.34
44,0.82526976,0.1580088,0.8276305,0.18389384,0.20351858,0.15372208,450.0,-3.5698967,0.8,2250.0,0.52
45,0.82552624,0.15838505,0.82799536,0.18440716,0.2037089,0.15377621,460.0,-6.891819,0.6,2300.0,0.38
46,0.8261934,0.15790635,0.82875997,0.18371467,0.2037611,0.15321025,470.0,-1.7397401,0.9,2350.0,0.4
47,0.82647115,0.15730017,0.82913184,0.18308799,0.2038408,0.15289819,480.0,-5.1955724,0.8,2400.0,0.34
48,0.82654554,0.15686932,0.82928485,0.18243115,0.20366408,0.15246874,490.0,-10.488977,0.4,2450.0,0.56
49,0.826871,0.15639289,0.82967234,0.18177694,0.2037181,0.1524349,500.0,-4.9484706,0.8,2500.0,0.38
50,0.8274537,0.15610498,0.830216,0.1813934,0.20369454,0.15219566,510.0,-3.4690413,0.8,2550.0,0.46
51,0.82756513,0.15552126,0.8303168,0.18056785,0.2037813,0.1517965,520.0,-4.3995676,0.8,2600.0,0.54
52,0.8280361,0.15473635,0.83087176,0.17962278,0.20385842,0.15148517,530.0,-0.926575,1.0,2650.0,0.58
53,0.8282993,0.15440485,0.8311717,0.17905915,0.203799,0.15134186,540.0,-3.579801,0.7,2700.0,0.44
54,0.8289971,0.15422677,0.83202124,0.1787981,0.20386854,0.15123285,550.0,-2.202588,1.0,2750.0,0.46
55,0.8295316,0.15363584,0.83259314,0.17800023,0.20385851,0.15083084,560.0,-0.7441193,0.9,2800.0,0.6
