epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8517883,0.09321327,0.20622362,0.0454461,10.0,-2.1297553,0.0,50.0,0.04
1,0.85007834,0.094547205,0.20492835,0.044319347,20.0,-4.601514,0.0,100.0,0.04
2,0.84785557,0.09443014,0.20385654,0.04931334,30.0,-6.6421113,0.0,150.0,0.04
3,0.8451436,0.09380368,0.20341153,0.047814135,40.0,-8.621728,0.1,200.0,0.02
4,0.84636766,0.0943077,0.20380642,0.048209153,50.0,-8.905849,0.1,250.0,0.02
5,0.8479133,0.0971483,0.20448792,0.053098217,60.0,-10.487551,0.0,300.0,0.04
6,0.84755325,0.09614704,0.20430857,0.057630822,70.0,-13.4817095,0.0,350.0,0.08
7,0.84812623,0.095699005,0.20455089,0.056544438,80.0,-13.515512,0.0,400.0,0.04
8,0.84739417,0.096435785,0.20447071,0.056866158,90.0,-15.332085,0.0,450.0,0.04
9,0.8464578,0.0967972,0.20408235,0.05756217,100.0,-17.573925,0.0,500.0,0.0
10,0.84664065,0.09789783,0.20425647,0.061101407,110.0,-16.97733,0.0,550.0,0.06
11,0.8461919,0.09775994,0.20409913,0.060818158,120.0,-18.353392,0.0,600.0,0.02
12,0.8455755,0.097287625,0.20393905,0.06059785,130.0,-17.692223,0.1,650.0,0.08
13,0.8455882,0.097130775,0.20371991,0.06418225,140.0,-19.164478,0.1,700.0,0.0
14,0.8454588,0.09686521,0.2037511,0.0643877,150.0,-21.275486,0.0,750.0,0.08
15,0.8455117,0.096785426,0.20368204,0.06445906,160.0,-21.281002,0.0,800.0,0.06
16,0.8458021,0.09690722,0.20377854,0.06581903,170.0,-18.415201,0.0,850.0,0.04
17,0.84529203,0.096736185,0.20369957,0.06762531,180.0,-19.949497,0.1,900.0,0.04
18,0.8459022,0.097347714,0.20382366,0.06835846,190.0,-21.77456,0.0,950.0,0.04
19,0.84632367,0.0972999,0.20411569,0.06863653,200.0,-26.150518,0.0,1000.0,0.02
20,0.8459633,0.09706364,0.20408107,0.068865955,210.0,-23.140652,0.0,1050.0,0.02
21,0.8460026,0.09697032,0.20408864,0.06930846,220.0,-20.156876,0.2,1100.0,0.0
22,0.84593534,0.0978174,0.20419623,0.06960163,230.0,-20.525412,0.1,1150.0,0.02
23,0.8462171,0.09821972,0.20429128,0.06984272,240.0,-25.848919,0.0,1200.0,0.02
24,0.8458229,0.09922757,0.2043327,0.0706184,250.0,-24.88872,0.0,1250.0,0.0
25,0.84601164,0.099301256,0.20446627,0.07179558,260.0,-30.816494,0.0,1300.0,0.1
26,0.84641606,0.09947455,0.20451033,0.07124978,270.0,-21.707119,0.0,1350.0,0.02
27,0.84620434,0.10036529,0.2044062,0.07169326,280.0,-25.861853,0.2,1400.0,0.04
28,0.8462636,0.10022367,0.20435737,0.07232342,290.0,-25.646435,0.0,1450.0,0.06
29,0.84673095,0.10137832,0.20443931,0.0738998,300.0,-21.544867,0.0,1500.0,0.02
30,0.84662366,0.10135156,0.204453,0.07415085,310.0,-26.870876,0.0,1550.0,0.12
31,0.84656,0.101349585,0.20437618,0.07458539,320.0,-26.68598,0.0,1600.0,0.06
32,0.8464193,0.102425665,0.20422377,0.07595667,330.0,-16.723366,0.1,1650.0,0.1
33,0.8465776,0.10218478,0.20440681,0.07606451,340.0,-18.615194,0.1,1700.0,0.0
34,0.84650517,0.10191384,0.20437296,0.0759948,350.0,-29.506403,0.0,1750.0,0.04
35,0.8463822,0.101745136,0.20444559,0.07629668,360.0,-34.750355,0.0,1800.0,0.02
36,0.84675527,0.1016501,0.204565,0.0764189,370.0,-27.507284,0.0,1850.0,0.04
37,0.84665775,0.10255506,0.20456061,0.077150375,380.0,-30.602844,0.0,1900.0,0.08
38,0.8466878,0.10248688,0.2045906,0.07737287,390.0,-25.423899,0.1,1950.0,0.08
39,0.8468473,0.102805056,0.20466276,0.07763887,400.0,-27.673355,0.1,2000.0,0.02
40,0.8468306,0.10304725,0.20464464,0.07820698,410.0,-24.323198,0.1,2050.0,0.02
41,0.8470432,0.10347978,0.20465183,0.0789458,420.0,-26.471973,0.1,2100.0,0.06
42,0.84670067,0.10327803,0.20448802,0.07919473,430.0,-26.630077,0.0,2150.0,0.04
43,0.8466916,0.10414797,0.20443195,0.079541594,440.0,-27.931122,0.1,2200.0,0.04
44,0.8465559,0.10417432,0.204356,0.08044796,450.0,-29.683237,0.0,2250.0,0.02
45,0.8465449,0.10434097,0.20443141,0.08149419,460.0,-22.515781,0.0,2300.0,0.08
46,0.8467664,0.10437598,0.20450419,0.08181917,470.0,-30.4947,0.0,2350.0,0.02
47,0.84661406,0.104574144,0.20449495,0.08256089,480.0,-28.381268,0.0,2400.0,0.08
48,0.8467309,0.10456511,0.204588,0.0829279,490.0,-27.802006,0.0,2450.0,0.04
49,0.84653234,0.10470426,0.20458849,0.08311497,500.0,-33.51435,0.0,2500.0,0.08
50,0.84650534,0.104496814,0.20458421,0.08334667,510.0,-29.418356,0.0,2550.0,0.02
51,0.8464822,0.1042695,0.20454161,0.08334126,520.0,-25.709553,0.0,2600.0,0.0
52,0.84652203,0.10405091,0.20445356,0.083313815,530.0,-27.00976,0.0,2650.0,0.04
53,0.84656316,0.10389525,0.20448104,0.08315158,540.0,-27.276093,0.0,2700.0,0.02
54,0.84664536,0.1037578,0.20447649,0.08312495,550.0,-23.23931,0.1,2750.0,0.06
55,0.84684324,0.10384142,0.20447463,0.08312136,560.0,-20.772076,0.2,2800.0,0.02
56,0.8466776,0.103666924,0.20441562,0.08298615,570.0,-29.791382,0.0,2850.0,0.08
57,0.8467965,0.10383042,0.204416,0.08325508,580.0,-39.66691,0.0,2900.0,0.02
58,0.8469227,0.10362124,0.2044357,0.08362314,590.0,-21.70467,0.1,2950.0,0.04
59,0.84689623,0.10351401,0.20430437,0.08380909,600.0,-20.190077,0.0,3000.0,0.08
60,0.8468937,0.10342902,0.2043136,0.0839119,610.0,-25.402277,0.2,3050.0,0.08
61,0.84699196,0.10367458,0.20428453,0.08404731,620.0,-22.182533,0.0,3100.0,0.06
62,0.84698945,0.10362953,0.20429698,0.08425606,630.0,-28.137135,0.0,3150.0,0.06
63,0.84698963,0.10357223,0.20432274,0.0843795,640.0,-22.443531,0.2,3200.0,0.1
64,0.8468065,0.1034449,0.20426068,0.08441046,650.0,-26.8643,0.0,3250.0,0.06
65,0.8469389,0.103797294,0.20430422,0.08453985,660.0,-32.489902,0.0,3300.0,0.0
66,0.8469329,0.10368974,0.20433074,0.08472535,670.0,-24.17241,0.0,3350.0,0.08
67,0.8469952,0.10345495,0.20436512,0.08460262,680.0,-22.733393,0.1,3400.0,0.14
68,0.84683675,0.10347584,0.20432061,0.08456689,690.0,-32.84782,0.0,3450.0,0.02
69,0.8468065,0.10338342,0.20430487,0.08450326,700.0,-27.273157,0.1,3500.0,0.08
70,0.84674406,0.10336066,0.20429529,0.08455567,710.0,-26.88132,0.0,3550.0,0.1
71,0.8467651,0.103383034,0.20429733,0.08473564,720.0,-25.28187,0.1,3600.0,0.02
72,0.84686834,0.10366225,0.20433073,0.084908016,730.0,-21.220873,0.1,3650.0,0.06
73,0.84690636,0.10365709,0.20430571,0.085064694,740.0,-27.16894,0.0,3700.0,0.04
74,0.8468737,0.10383881,0.20439547,0.085399285,750.0,-29.711018,0.1,3750.0,0.08
75,0.8469278,0.10373495,0.20439401,0.08578089,760.0,-25.57439,0.0,3800.0,0.1
76,0.8470767,0.10375371,0.20450726,0.086014606,770.0,-28.13327,0.1,3850.0,0.08
77,0.847104,0.1035909,0.20452064,0.08603732,780.0,-24.415462,0.0,3900.0,0.12
78,0.84710425,0.10340214,0.2044284,0.08651976,790.0,-28.018688,0.0,3950.0,0.12
79,0.8471002,0.10341892,0.20442651,0.08698076,800.0,-31.886536,0.0,4000.0,0.04
80,0.84710056,0.10331309,0.20444837,0.08721787,810.0,-30.329288,0.0,4050.0,0.04
81,0.84712887,0.103476204,0.20434852,0.08755479,820.0,-28.847641,0.0,4100.0,0.06
82,0.8472355,0.10371532,0.20433421,0.08770013,830.0,-27.014044,0.0,4150.0,0.14
