epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
64,0.8388155,0.08091585,0.20169966,0.06966002,650.0,-32.620132,0.0,3250.0,0.06
65,0.8388407,0.08103651,0.2017128,0.070111535,660.0,-32.737114,0.1,3300.0,0.08
66,0.8388364,0.080954306,0.20171146,0.070091136,670.0,-30.1978,0.0,3350.0,0.04
67,0.83888775,0.080994345,0.20161606,0.07044571,680.0,-22.335499,0.3,3400.0,0.08
68,0.8389537,0.080878906,0.20164587,0.07040616,690.0,-27.615759,0.2,3450.0,0.08
69,0.8389404,0.08071568,0.20166385,0.07028469,700.0,-34.64228,0.1,3500.0,0.06
70,0.8390405,0.08081054,0.20168942,0.07064408,710.0,-19.686071,0.2,3550.0,0.06
71,0.8388718,0.08102062,0.20170057,0.07096443,720.0,-32.93171,0.0,3600.0,0.06
72,0.8388739,0.08103784,0.20171429,0.07099353,730.0,-22.151157,0.3,3650.0,0.08
73,0.83886117,0.08105326,0.20168032,0.071216285,740.0,-29.29621,0.1,3700.0,0.06
74,0.83873487,0.081195705,0.20160268,0.07124554,750.0,-31.500315,0.0,3750.0,0.06
75,0.8386995,0.08113244,0.20159903,0.071211785,760.0,-24.611681,0.1,3800.0,0.06
76,0.83865803,0.08109095,0.20155627,0.07115164,770.0,-25.327991,0.1,3850.0,0.08
77,0.8386542,0.081191845,0.20156342,0.07142333,780.0,-18.58085,0.0,3900.0,0.12
78,0.8385337,0.08130095,0.20153691,0.071583636,790.0,-27.972473,0.0,3950.0,0.04
79,0.8384958,0.08132631,0.20153905,0.07154055,800.0,-21.95258,0.2,4000.0,0.14
80,0.838712,0.08145074,0.20159999,0.07149234,810.0,-23.609385,0.0,4050.0,0.12
81,0.8387341,0.08135567,0.20161608,0.07149692,820.0,-23.36281,0.1,4100.0,0.04
82,0.83869284,0.08135941,0.20158815,0.07140843,830.0,-31.01469,0.0,4150.0,0.06
83,0.8386267,0.08142345,0.20157059,0.07138307,840.0,-22.572718,0.0,4200.0,0.12
84,0.8385853,0.08152179,0.20157854,0.07167841,850.0,-23.792301,0.1,4250.0,0.06
85,0.8386255,0.08144143,0.20159744,0.071586326,860.0,-22.18766,0.2,4300.0,0.12
86,0.8387081,0.08136786,0.20162031,0.07157484,870.0,-25.53833,0.0,4350.0,0.08
87,0.8386943,0.08127009,0.20163284,0.07148344,880.0,-19.946566,0.1,4400.0,0.02
88,0.8387301,0.08121592,0.2016429,0.07150975,890.0,-24.099636,0.1,4450.0,0.04
89,0.8387456,0.08115252,0.20162874,0.07147489,900.0,-27.808254,0.1,4500.0,0.12
90,0.83882755,0.08104892,0.20165415,0.07137975,910.0,-20.98875,0.2,4550.0,0.12
91,0.83889014,0.081093274,0.20165296,0.07137783,920.0,-15.524481,0.2,4600.0,0.08
92,0.838826,0.0809821,0.20162855,0.07150731,930.0,-27.996532,0.0,4650.0,0.12
93,0.8389003,0.08090776,0.20163211,0.07162642,940.0,-23.461794,0.1,4700.0,0.1
94,0.8389222,0.08080203,0.20161907,0.07156721,950.0,-30.244793,0.0,4750.0,0.06
