epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
64,0.84562546,0.10323795,0.20407431,0.08790472,650.0,-23.162653,0.0,3250.0,0.1
65,0.84546494,0.10338984,0.20400375,0.08837866,660.0,-25.978985,0.1,3300.0,0.12
66,0.8455735,0.10335767,0.20406312,0.08870295,670.0,-10.19962,0.3,3350.0,0.04
67,0.84557796,0.10317252,0.20398815,0.089098014,680.0,-22.227451,0.1,3400.0,0.1
68,0.845444,0.10381339,0.20404442,0.08953233,690.0,-22.180613,0.2,3450.0,0.04
69,0.8453986,0.10402819,0.20410974,0.08987833,700.0,-22.46554,0.0,3500.0,0.08
70,0.8453031,0.10400194,0.20411262,0.090125695,710.0,-27.629257,0.0,3550.0,0.08
71,0.84514874,0.103987314,0.20410591,0.09033245,720.0,-22.822033,0.2,3600.0,0.12
72,0.84519917,0.10391619,0.20404616,0.09056861,730.0,-15.865341,0.1,3650.0,0.02
73,0.8452979,0.10418854,0.20406967,0.09087081,740.0,-17.719666,0.3,3700.0,0.08
74,0.845334,0.10400245,0.20410025,0.0909558,750.0,-21.966244,0.1,3750.0,0.1
75,0.8454316,0.10416096,0.20412266,0.0911209,760.0,-20.644428,0.0,3800.0,0.1
76,0.84542114,0.104089946,0.20411572,0.09120877,770.0,-15.632004,0.2,3850.0,0.08
77,0.8454389,0.10396507,0.20412134,0.091138296,780.0,-23.96278,0.0,3900.0,0.08
78,0.84550524,0.103873186,0.20411639,0.091211185,790.0,-29.975061,0.0,3950.0,0.08
79,0.845478,0.10398827,0.20405538,0.091221765,800.0,-19.096806,0.0,4000.0,0.14
80,0.84552544,0.10380649,0.20408759,0.09137566,810.0,-22.183037,0.0,4050.0,0.14
81,0.84556526,0.1038856,0.2040195,0.09192824,820.0,-24.755077,0.1,4100.0,0.08
82,0.8457515,0.103857994,0.20410472,0.09265654,830.0,-13.902761,0.2,4150.0,0.08
83,0.8456943,0.10384252,0.20409518,0.09286233,840.0,-27.561377,0.1,4200.0,0.18
84,0.84567815,0.10379835,0.20402555,0.093138605,850.0,-25.604603,0.0,4250.0,0.18
85,0.84570986,0.1036748,0.20404898,0.092961274,860.0,-20.725353,0.1,4300.0,0.14
86,0.84554285,0.10392509,0.20404515,0.09318257,870.0,-17.200699,0.3,4350.0,0.14
87,0.8454836,0.10445879,0.20407492,0.09379504,880.0,-13.23423,0.3,4400.0,0.1
88,0.8454156,0.10445387,0.20404947,0.093912,890.0,-20.632833,0.2,4450.0,0.1
89,0.84549457,0.10464681,0.20401607,0.09404233,900.0,-20.398117,0.1,4500.0,0.1
90,0.8455394,0.104510605,0.20412104,0.09444254,910.0,-23.282211,0.1,4550.0,0.16
91,0.84549457,0.104578905,0.20412262,0.09516358,920.0,-23.72353,0.1,4600.0,0.14
92,0.8455434,0.10470992,0.20417938,0.09558493,930.0,-14.71432,0.1,4650.0,0.08
93,0.84549004,0.104526035,0.20412332,0.09590257,940.0,-15.159076,0.3,4700.0,0.1
94,0.84546715,0.10460582,0.20410714,0.09650111,950.0,-23.827576,0.1,4750.0,0.16
95,0.8454334,0.10500262,0.20417596,0.09683426,960.0,-14.30838,0.1,4800.0,0.16
96,0.84547573,0.10506082,0.20423755,0.09711851,970.0,-18.121273,0.2,4850.0,0.08
97,0.84532326,0.1053616,0.20421657,0.09737243,980.0,-13.689662,0.2,4900.0,0.1
98,0.8453209,0.10530668,0.20420165,0.097716644,990.0,-15.948665,0.1,4950.0,0.16
99,0.84529954,0.10531938,0.20420738,0.097850256,1000.0,-20.60188,0.0,5000.0,0.16
100,0.8453682,0.105380185,0.2041746,0.09815368,1010.0,-16.251791,0.3,5050.0,0.14
101,0.8453272,0.105289824,0.20417191,0.098206036,1020.0,-9.871127,0.5,5100.0,0.12
102,0.84532315,0.105207086,0.2041372,0.098219596,1030.0,-17.738897,0.2,5150.0,0.24
103,0.8453209,0.105054416,0.20417315,0.09844386,1040.0,-14.254018,0.2,5200.0,0.12
104,0.84514946,0.10543563,0.20413888,0.098705605,1050.0,-16.90907,0.3,5250.0,0.1
105,0.8451269,0.10570711,0.20419228,0.098778635,1060.0,-17.639349,0.1,5300.0,0.14
106,0.84507155,0.1057243,0.20419209,0.09911251,1070.0,-16.77428,0.2,5350.0,0.16
107,0.8450722,0.105742715,0.20416173,0.099343546,1080.0,-15.67349,0.2,5400.0,0.24
108,0.845082,0.10589439,0.20416792,0.0994793,1090.0,-13.651172,0.5,5450.0,0.14
109,0.84502554,0.105809055,0.2041216,0.09945121,1100.0,-20.406317,0.0,5500.0,0.16
110,0.84496266,0.10570282,0.20412917,0.09960501,1110.0,-16.838234,0.2,5550.0,0.12
111,0.8450022,0.105627775,0.20408243,0.09983609,1120.0,-16.203007,0.2,5600.0,0.2
112,0.8450257,0.10568055,0.20405552,0.10004098,1130.0,-13.671789,0.5,5650.0,0.16
113,0.84502095,0.10578767,0.2041126,0.1003513,1140.0,-13.27697,0.4,5700.0,0.16
114,0.8450172,0.10566727,0.20412904,0.100404285,1150.0,-11.109183,0.2,5750.0,0.22
115,0.84498566,0.10575246,0.2041598,0.10065899,1160.0,-16.767776,0.2,5800.0,0.16
116,0.84512424,0.10562093,0.20417042,0.10089839,1170.0,-14.115984,0.4,5850.0,0.26
117,0.8452142,0.10568293,0.20413356,0.10112834,1180.0,-12.897214,0.4,5900.0,0.18
118,0.8453073,0.105597995,0.20414256,0.10125013,1190.0,-18.636507,0.2,5950.0,0.14
119,0.84532833,0.10558798,0.20418696,0.10127385,1200.0,-8.3411,0.6,6000.0,0.16
120,0.8453891,0.1057083,0.20417485,0.1013908,1210.0,-18.813232,0.3,6050.0,0.1
121,0.84544235,0.10566803,0.20418751,0.10152695,1220.0,-12.00374,0.6,6100.0,0.2
122,0.8453798,0.10560751,0.20411436,0.10168417,1230.0,-19.595097,0.2,6150.0,0.24
123,0.84532565,0.10571184,0.20408596,0.10185517,1240.0,-22.801867,0.2,6200.0,0.14
124,0.8453143,0.10573705,0.20407109,0.102050394,1250.0,-17.180641,0.2,6250.0,0.16
125,0.84533554,0.10569563,0.20407616,0.10223481,1260.0,-10.080256,0.5,6300.0,0.22
126,0.84533423,0.10584772,0.20410568,0.10240851,1270.0,-21.599167,0.2,6350.0,0.16
127,0.8453331,0.10622517,0.20406245,0.10297281,1280.0,-15.75588,0.5,6400.0,0.22
128,0.8454063,0.10633377,0.20406601,0.10308548,1290.0,-13.869644,0.2,6450.0,0.26
129,0.84535193,0.106322534,0.2040442,0.10341538,1300.0,-16.698673,0.3,6500.0,0.22
130,0.84528095,0.10631103,0.20403795,0.10375418,1310.0,-21.65188,0.0,6550.0,0.22
131,0.8453062,0.10629595,0.2040527,0.10398791,1320.0,-15.605716,0.2,6600.0,0.1
132,0.8452449,0.10621124,0.2040289,0.10418442,1330.0,-18.800053,0.3,6650.0,0.2
133,0.8453111,0.10614302,0.20400666,0.10435401,1340.0,-11.188139,0.3,6700.0,0.18
134,0.8454258,0.10614541,0.20402044,0.10452584,1350.0,-13.349001,0.5,6750.0,0.22
135,0.84535784,0.10618538,0.2039874,0.104759425,1360.0,-23.208523,0.1,6800.0,0.2
136,0.8453762,0.10640389,0.2039365,0.10507458,1370.0,-15.061122,0.2,6850.0,0.08
137,0.84541947,0.10658028,0.20393029,0.10536605,1380.0,-17.021442,0.2,6900.0,0.18
138,0.84533143,0.10657382,0.20388536,0.10570447,1390.0,-14.625092,0.1,6950.0,0.18
139,0.8452845,0.10658833,0.20387658,0.10590104,1400.0,-13.766699,0.4,7000.0,0.22
140,0.8451676,0.10667268,0.20381463,0.106123716,1410.0,-11.986719,0.3,7050.0,0.18
141,0.8451216,0.10685197,0.2037741,0.10637652,1420.0,-15.443683,0.5,7100.0,0.16
142,0.8450702,0.10686093,0.20375028,0.10660515,1430.0,-14.752568,0.3,7150.0,0.22
143,0.84514046,0.10685507,0.2037528,0.106918335,1440.0,-17.710718,0.4,7200.0,0.18
144,0.8451186,0.1068841,0.20376533,0.107186854,1450.0,-21.860224,0.3,7250.0,0.22
145,0.84502727,0.107043006,0.20366973,0.1074026,1460.0,-25.133657,0.1,7300.0,0.14
146,0.84503037,0.10712358,0.20366417,0.10759196,1470.0,-18.496572,0.1,7350.0,0.22
147,0.8450338,0.10721934,0.20363526,0.10785942,1480.0,-17.221601,0.4,7400.0,0.22
148,0.84506005,0.107191086,0.20368652,0.10797103,1490.0,-15.085248,0.5,7450.0,0.2
149,0.8450754,0.10735706,0.20369768,0.10820475,1500.0,-14.609732,0.4,7500.0,0.2
150,0.84505457,0.10736876,0.2036293,0.10827834,1510.0,-14.999382,0.3,7550.0,0.22
151,0.8451204,0.10729275,0.2036351,0.108486004,1520.0,-21.486736,0.2,7600.0,0.28
152,0.84515196,0.10743483,0.20366418,0.10872364,1530.0,-11.060043,0.4,7650.0,0.18
153,0.84516644,0.10738918,0.20370182,0.108905084,1540.0,-12.916455,0.2,7700.0,0.22
154,0.8451424,0.10746873,0.2036835,0.10902257,1550.0,-8.3288355,0.4,7750.0,0.22
155,0.84517646,0.10735613,0.20362446,0.10916294,1560.0,-14.667829,0.3,7800.0,0.3
156,0.8451729,0.10732955,0.20367873,0.10933355,1570.0,-18.372387,0.3,7850.0,0.32
157,0.8452261,0.107248306,0.20371671,0.10952285,1580.0,-15.791229,0.2,7900.0,0.26
158,0.84524184,0.10715648,0.20369373,0.10973475,1590.0,-20.903357,0.0,7950.0,0.3
159,0.8451824,0.10719306,0.20367719,0.1098452,1600.0,-17.25737,0.3,8000.0,0.28
160,0.8452894,0.10741228,0.20373051,0.11015664,1610.0,-17.048124,0.4,8050.0,0.3
161,0.84522504,0.107414834,0.2037292,0.11036357,1620.0,-24.690548,0.2,8100.0,0.26
162,0.8452973,0.107445806,0.20378874,0.11050808,1630.0,-17.485735,0.3,8150.0,0.36
163,0.84535235,0.10756829,0.20376337,0.11089979,1640.0,-15.73968,0.4,8200.0,0.24
164,0.8453514,0.10750729,0.2037637,0.11111668,1650.0,-21.82375,0.1,8250.0,0.16
165,0.84531623,0.10763812,0.20373517,0.11143879,1660.0,-15.26826,0.4,8300.0,0.16
166,0.84529525,0.10769387,0.20377229,0.11168225,1670.0,-11.882868,0.5,8350.0,0.22
167,0.84526604,0.10765468,0.20378551,0.111870594,1680.0,-10.536389,0.5,8400.0,0.28
168,0.8452527,0.1077451,0.20381016,0.112056084,1690.0,-17.059612,0.3,8450.0,0.16
169,0.8452218,0.10799981,0.20380645,0.112232745,1700.0,-15.274405,0.5,8500.0,0.24
170,0.84530205,0.10797149,0.20382859,0.11237223,1710.0,-10.2153425,0.5,8550.0,0.22
171,0.8453059,0.10809142,0.20381312,0.1125988,1720.0,-13.1799135,0.5,8600.0,0.22
172,0.84532434,0.10834918,0.2037772,0.11295921,1730.0,-13.267458,0.5,8650.0,0.24
173,0.84532857,0.108316295,0.20381242,0.11310151,1740.0,-23.651928,0.2,8700.0,0.38
174,0.84534067,0.10843887,0.20383264,0.113251336,1750.0,-14.449183,0.5,8750.0,0.26
175,0.8452832,0.10849204,0.2037801,0.11332908,1760.0,-19.713863,0.3,8800.0,0.28
176,0.8452504,0.108558856,0.2037536,0.11344448,1770.0,-17.44912,0.4,8850.0,0.34
177,0.8452649,0.10871527,0.20375553,0.11361988,1780.0,-18.09968,0.3,8900.0,0.24
178,0.8452244,0.10864202,0.2037416,0.113692835,1790.0,-14.59005,0.5,8950.0,0.38
179,0.84527546,0.10866425,0.20368263,0.11385705,1800.0,-19.940928,0.3,9000.0,0.22
180,0.8453028,0.1088238,0.20364252,0.11395798,1810.0,-16.40504,0.5,9050.0,0.26
181,0.8452018,0.108858645,0.20365864,0.11428258,1820.0,-26.882473,0.2,9100.0,0.3
182,0.84520864,0.108918644,0.20362882,0.11448199,1830.0,-9.1330185,0.5,9150.0,0.32
183,0.8452272,0.108904235,0.20364222,0.11451572,1840.0,-20.099392,0.5,9200.0,0.36
184,0.8451872,0.10897187,0.2036708,0.114636175,1850.0,-19.947002,0.4,9250.0,0.22
