epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8420348,0.071590684,0.20277569,0.043946322,10.0,-2.2169414,0.1,50.0,0.06,1,0.84257156,0.07016398,0.20327382,0.046945646,20.0,-3.4697127,0.1,100.0,0.1
2,0.84337884,0.07042492,0.20312917,0.044677854,30.0,-5.7165627,0.0,150.0,0.08
3,0.8419225,0.0700792,0.20240586,0.04439293,40.0,-6.663279,0.1,200.0,0.06
4,0.84054613,0.07003621,0.20195241,0.04431741,50.0,-10.226992,0.0,250.0,0.08
5,0.83973855,0.07113723,0.20161738,0.053178713,60.0,-9.361987,0.0,300.0,0.02
6,0.83862925,0.073984616,0.20113903,0.056112118,70.0,-12.030096,0.0,350.0,0.02
7,0.8376736,0.07439057,0.2010619,0.05764009,80.0,-13.518724,0.1,400.0,0.08
8,0.83833784,0.07608921,0.20135677,0.05730516,90.0,-15.17435,0.1,450.0,0.04
9,0.837687,0.07866635,0.20123394,0.058329374,100.0,-15.969664,0.0,500.0,0.02
10,0.8375017,0.08140763,0.20139551,0.061931696,110.0,-17.447573,0.0,550.0,0.04
11,0.83767635,0.08089907,0.20145935,0.061130553,120.0,-19.978596,0.0,600.0,0.04
12,0.83828616,0.08036955,0.20164573,0.06049224,130.0,-21.482327,0.0,650.0,0.06
13,0.8381726,0.080732696,0.201638,0.06101389,140.0,-19.821136,0.0,700.0,0.04
14,0.8379095,0.08054649,0.20141116,0.061358973,150.0,-22.617725,0.0,750.0,0.02
15,0.8376026,0.08039952,0.20125006,0.06084938,160.0,-21.730503,0.1,800.0,0.06
16,0.83730024,0.08161622,0.20130205,0.06236117,170.0,-23.8447,0.1,850.0,0.08
17,0.8373985,0.08180673,0.2013552,0.062096138,180.0,-26.3777,0.0,900.0,0.04
18,0.8376525,0.08194008,0.20140554,0.061909422,190.0,-22.471579,0.2,950.0,0.08
19,0.83770674,0.08154184,0.20140469,0.061361875,200.0,-25.472424,0.0,1000.0,0.1
20,0.8375883,0.081745006,0.20142134,0.06112402,210.0,-20.048233,0.0,1050.0,0.1
21,0.83769345,0.08242616,0.20149201,0.06173979,220.0,-22.752207,0.3,1100.0,0.1
22,0.837653,0.082439035,0.20150068,0.061912213,230.0,-27.391596,0.1,1150.0,0.08
23,0.8379326,0.082073085,0.20155336,0.06146275,240.0,-27.459034,0.1,1200.0,0.12
24,0.83803797,0.0822635,0.20159219,0.061229184,250.0,-29.213251,0.1,1250.0,0.1
25,0.8383418,0.08184923,0.20161892,0.060759794,260.0,-21.095398,0.3,1300.0,0.04
26,0.8384388,0.08193111,0.20165485,0.06059575,270.0,-30.117722,0.1,1350.0,0.08
27,0.83845085,0.082811706,0.20164238,0.061988626,280.0,-26.501575,0.2,1400.0,0.02
28,0.83824664,0.082566,0.20158516,0.061571244,290.0,-34.588757,0.0,1450.0,0.04
29,0.8386793,0.08269573,0.20169306,0.06239166,300.0,-33.145687,0.0,1500.0,0.08
30,0.8386023,0.08269734,0.20170826,0.06227514,310.0,-28.094936,0.0,1550.0,0.02
31,0.83873874,0.082528755,0.20178297,0.062139466,320.0,-31.250788,0.1,1600.0,0.06
32,0.83860964,0.08270704,0.20175886,0.061969537,330.0,-30.412918,0.1,1650.0,0.08
33,0.83864546,0.08283431,0.20178542,0.062269602,340.0,-35.884804,0.0,1700.0,0.08
34,0.83852607,0.08260362,0.2017784,0.06219695,350.0,-36.16152,0.0,1750.0,0.08
35,0.83844995,0.08295228,0.20162271,0.06256251,360.0,-19.432499,0.3,1800.0,0.08
36,0.8385288,0.083097436,0.2016644,0.062744744,370.0,-34.43876,0.0,1850.0,0.06
37,0.8383458,0.08289276,0.20167097,0.06286232,380.0,-25.261662,0.0,1900.0,0.02
38,0.83845615,0.0826331,0.20169787,0.062679335,390.0,-32.162495,0.1,1950.0,0.04
39,0.8384841,0.08243394,0.20166261,0.06253181,400.0,-34.081596,0.0,2000.0,0.1
40,0.8383176,0.08224077,0.20160948,0.06263441,410.0,-32.06349,0.1,2050.0,0.08
41,0.83811337,0.08236995,0.20160389,0.06331072,420.0,-31.833445,0.2,2100.0,0.04
42,0.83789045,0.08217621,0.20149326,0.06338368,430.0,-24.687044,0.2,2150.0,0.02
43,0.8377549,0.082324825,0.20147032,0.063870735,440.0,-34.569656,0.0,2200.0,0.08
44,0.83795255,0.08267697,0.20158835,0.06452228,450.0,-34.449936,0.0,2250.0,0.12
45,0.8381745,0.08240609,0.20162848,0.0643759,460.0,-32.81966,0.0,2300.0,0.0
46,0.8379652,0.08215833,0.20154946,0.06430887,470.0,-38.076237,0.0,2350.0,0.02
47,0.8379541,0.08230251,0.20154157,0.064709604,480.0,-32.204037,0.1,2400.0,0.1
48,0.8381428,0.08210897,0.2015395,0.06485412,490.0,-29.913034,0.1,2450.0,0.02
49,0.8380297,0.08196037,0.20150918,0.064763635,500.0,-31.62757,0.0,2500.0,0.12
