epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84102726,0.07100587,0.19983476,0.048241023,10.0,-2.5903418,0.0,50.0,0.08
1,0.8354884,0.06934822,0.19796976,0.051609382,20.0,-4.6397777,0.0,100.0,0.08
2,0.8339414,0.069634505,0.1981635,0.04877073,30.0,-6.876612,0.0,150.0,0.06
3,0.8348622,0.06918644,0.19880058,0.046570234,40.0,-8.158992,0.0,200.0,0.02
4,0.83501273,0.06922699,0.19914193,0.045612764,50.0,-7.385602,0.2,250.0,0.06
5,0.8351367,0.06906655,0.19932657,0.04462487,60.0,-10.758949,0.2,300.0,0.04
6,0.837245,0.069170855,0.20001598,0.045076683,70.0,-14.432707,0.0,350.0,0.02
7,0.83772963,0.06941145,0.20026475,0.044488296,80.0,-12.923986,0.1,400.0,0.1
8,0.83720285,0.07223971,0.20001584,0.048292298,90.0,-16.243246,0.0,450.0,0.08
9,0.837545,0.07197585,0.20007092,0.048402954,100.0,-15.732602,0.1,500.0,0.06
10,0.8379243,0.0714549,0.2002336,0.048252344,110.0,-14.256037,0.1,550.0,0.06
11,0.8373812,0.07141831,0.20022072,0.047983095,120.0,-21.099066,0.0,600.0,0.04
12,0.8379449,0.07135492,0.20036913,0.048873253,130.0,-19.176432,0.0,650.0,0.12
13,0.8379882,0.07279863,0.20051788,0.04946647,140.0,-14.914724,0.2,700.0,0.06
14,0.8384997,0.07264785,0.20079355,0.05169005,150.0,-19.66324,0.0,750.0,0.18
15,0.8383711,0.07493263,0.20089321,0.055519447,160.0,-21.7806,0.0,800.0,0.0
16,0.8386585,0.07466214,0.20098191,0.05572432,170.0,-21.440372,0.0,850.0,0.08
17,0.8389163,0.07429529,0.20101084,0.056379966,180.0,-23.461712,0.0,900.0,0.08
18,0.83902866,0.07395507,0.20090584,0.057205673,190.0,-23.419966,0.0,950.0,0.1
19,0.8389227,0.07379038,0.20090245,0.05745598,200.0,-23.004007,0.2,1000.0,0.06
20,0.8387696,0.0739271,0.20071988,0.058645163,210.0,-22.049572,0.2,1050.0,0.06
21,0.8391462,0.07505224,0.20087078,0.05918677,220.0,-27.233036,0.0,1100.0,0.08
22,0.83944017,0.07532745,0.20111205,0.060346898,230.0,-20.585407,0.1,1150.0,0.02
23,0.83989334,0.07589371,0.2012224,0.061207827,240.0,-26.575893,0.1,1200.0,0.12
24,0.83977866,0.07642303,0.20131117,0.063003376,250.0,-27.206259,0.1,1250.0,0.1
25,0.8402373,0.076355375,0.20143323,0.06358739,260.0,-30.448582,0.0,1300.0,0.06
26,0.84035367,0.076063074,0.20143168,0.06384563,270.0,-23.763615,0.1,1350.0,0.06
27,0.8404155,0.076519504,0.20146883,0.06428631,280.0,-18.839088,0.2,1400.0,0.08
28,0.84054136,0.07647953,0.20156395,0.064024016,290.0,-28.247192,0.0,1450.0,0.08
29,0.8402169,0.07624941,0.20149404,0.06376659,300.0,-25.283323,0.2,1500.0,0.12
30,0.84056777,0.07629157,0.20155838,0.0636452,310.0,-24.913105,0.1,1550.0,0.08
