epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8381688,0.08859295,0.8479624,0.11013979,0.20571612,0.08402459,10.0,-2.6765342,0.0,50.0,0.02
1,0.8329374,0.13545845,0.83645767,0.16175537,0.20835604,0.12896061,20.0,-4.2627954,0.0,100.0,0.04
2,0.83006686,0.15365006,0.82912666,0.18092108,0.20407917,0.1401608,30.0,-5.2057714,0.1,150.0,0.0
3,0.8280406,0.16674368,0.825161,0.19411631,0.20380771,0.14631297,40.0,-7.1890106,0.0,200.0,0.0
4,0.8233974,0.17975473,0.8198907,0.20834847,0.20323972,0.15501797,50.0,-7.6292276,0.0,250.0,0.12
5,0.81727606,0.1818695,0.81349015,0.21211684,0.20316663,0.15699427,60.0,-9.781323,0.0,300.0,0.06
6,0.8188508,0.17873311,0.81453556,0.21006227,0.20274752,0.15707788,70.0,-11.593172,0.0,350.0,0.04
7,0.81770283,0.181197,0.81366533,0.21216011,0.20325513,0.15830725,80.0,-11.535848,0.1,400.0,0.08
8,0.8173128,0.1795154,0.81375927,0.20909858,0.20234427,0.15883975,90.0,-12.643845,0.1,450.0,0.16
9,0.82001466,0.178321,0.816215,0.20754592,0.20191132,0.16055986,100.0,-14.760096,0.1,500.0,0.12
10,0.8212351,0.17632657,0.81877565,0.2052422,0.20154013,0.15999661,110.0,-12.333242,0.0,550.0,0.18
11,0.8216241,0.17741734,0.81879944,0.20589226,0.20121695,0.16099113,120.0,-12.521667,0.4,600.0,0.2
12,0.82191545,0.1776958,0.81998116,0.20587395,0.20131765,0.1600508,130.0,-15.272509,0.1,650.0,0.14
13,0.82208914,0.17502046,0.82063866,0.20292711,0.20190157,0.1598149,140.0,-13.536211,0.3,700.0,0.16
14,0.82240444,0.17515247,0.821121,0.20330697,0.2018834,0.16003507,150.0,-11.009773,0.3,750.0,0.1
15,0.82324296,0.17346625,0.82205933,0.2023437,0.20154947,0.1598845,160.0,-9.339259,0.5,800.0,0.16
16,0.82381517,0.17295139,0.8226731,0.20210052,0.20191634,0.16051291,170.0,-11.871088,0.3,850.0,0.22
17,0.82384473,0.17226632,0.8229642,0.20141648,0.20207337,0.16097653,180.0,-9.22758,0.5,900.0,0.24
18,0.82429045,0.17057228,0.8234399,0.19957222,0.20198411,0.1609273,190.0,-9.664087,0.6,950.0,0.28
19,0.82499534,0.17101581,0.82402676,0.19971013,0.2020466,0.16137516,200.0,-9.906604,0.5,1000.0,0.26
20,0.8245172,0.16964376,0.82375056,0.19795506,0.20226583,0.16051094,210.0,-20.85487,0.2,1050.0,0.32
21,0.8252783,0.16824608,0.8245814,0.19625407,0.20271431,0.1605128,220.0,-7.4731054,0.6,1100.0,0.24
22,0.82514215,0.16736561,0.82455516,0.19517805,0.20259811,0.16092744,230.0,-9.368822,0.5,1150.0,0.32
23,0.8256323,0.16658407,0.825233,0.19441132,0.20253517,0.16120216,240.0,-6.391112,0.8,1200.0,0.28
24,0.82633466,0.16595931,0.82615066,0.19386876,0.20291375,0.16087276,250.0,-8.228942,0.6,1250.0,0.26
25,0.82702947,0.16514488,0.8270741,0.19291516,0.20321573,0.16047259,260.0,-7.6020308,0.6,1300.0,0.34
26,0.8266063,0.16444884,0.826878,0.19197337,0.20341286,0.16027369,270.0,-9.618362,0.6,1350.0,0.24
27,0.8265395,0.1634385,0.8268223,0.19064091,0.20349136,0.15969442,280.0,-10.06708,0.5,1400.0,0.36
28,0.8269472,0.16197498,0.8274247,0.18907855,0.2036825,0.15884171,290.0,-14.010546,0.5,1450.0,0.3
29,0.8270938,0.16169561,0.8276468,0.18897931,0.20378408,0.1583144,300.0,-2.5631,0.9,1500.0,0.24
30,0.82709426,0.16037418,0.82792884,0.18756318,0.20402975,0.15771957,310.0,-14.78748,0.3,1550.0,0.3
31,0.82774353,0.15938233,0.8286841,0.18634035,0.20419917,0.15713494,320.0,-6.0617347,0.6,1600.0,0.32
32,0.8279429,0.15920775,0.82909757,0.18596685,0.20386383,0.15715235,330.0,-10.4639845,0.6,1650.0,0.34
33,0.82816523,0.15818079,0.8293943,0.18473063,0.20414129,0.156462,340.0,-5.482678,0.6,1700.0,0.28
34,0.8289725,0.15819289,0.83034974,0.18462591,0.2041904,0.15650125,350.0,-9.985224,0.6,1750.0,0.26
35,0.829331,0.15705778,0.83088404,0.18347426,0.20445761,0.15562652,360.0,-3.738036,0.9,1800.0,0.38
36,0.829676,0.1574115,0.831503,0.1837018,0.20450336,0.15562168,370.0,-8.846126,0.7,1850.0,0.3
37,0.83010453,0.15714926,0.83195907,0.18315542,0.20450373,0.15523484,380.0,-7.93368,0.6,1900.0,0.34
38,0.83051443,0.15672618,0.8323328,0.18278657,0.20464517,0.15550324,390.0,-11.067585,0.5,1950.0,0.36
39,0.8309633,0.15690279,0.8327511,0.1829279,0.2048872,0.15587886,400.0,-9.015814,0.6,2000.0,0.28
40,0.8312571,0.15581165,0.8332549,0.18153949,0.20503677,0.15514284,410.0,-6.1971374,0.8,2050.0,0.48
41,0.8314707,0.15530308,0.8335156,0.18074079,0.20518649,0.15480015,420.0,-14.416013,0.4,2100.0,0.5
42,0.83152455,0.15425818,0.8336323,0.17946154,0.20503373,0.15399495,430.0,-10.572686,0.6,2150.0,0.42
43,0.8316111,0.15352172,0.83392,0.17861076,0.20506622,0.15331398,440.0,-4.111043,0.8,2200.0,0.38
44,0.83178234,0.1525411,0.83423346,0.17756163,0.20499681,0.1529303,450.0,-3.4617455,0.9,2250.0,0.42
45,0.8318427,0.15186293,0.834337,0.1767066,0.2051709,0.15280259,460.0,-8.889914,0.6,2300.0,0.38
46,0.8321983,0.15117837,0.83465225,0.17582007,0.20511837,0.15271308,470.0,-2.588472,0.9,2350.0,0.6
47,0.83253783,0.15045857,0.8350451,0.17502077,0.20520408,0.15222636,480.0,-6.009617,0.7,2400.0,0.46
48,0.83275455,0.14974223,0.8353548,0.17414679,0.20510742,0.15182373,490.0,-4.833122,0.9,2450.0,0.48
49,0.8329227,0.14951165,0.83552504,0.17374997,0.20531197,0.15191585,500.0,-3.6665845,0.9,2500.0,0.4
