epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84467643,0.08564029,0.8507146,0.1107169,0.20628807,0.06783837,10.0,-3.016928,0.0,50.0,0.0
1,0.8288992,0.1680551,0.8295327,0.19406973,0.20290002,0.13223273,20.0,-3.9787502,0.0,100.0,0.0
2,0.8290656,0.1748467,0.828141,0.20293699,0.20408523,0.14828761,30.0,-5.5523157,0.0,150.0,0.04
3,0.82608587,0.17606564,0.825712,0.20416586,0.20271303,0.15407863,40.0,-6.641806,0.0,200.0,0.0
4,0.8201087,0.18331915,0.8180879,0.21385539,0.2012259,0.15800671,50.0,-6.1834364,0.1,250.0,0.06
5,0.8160612,0.18516915,0.8144452,0.21649818,0.19919267,0.15831575,60.0,-8.863769,0.0,300.0,0.04
6,0.8179162,0.18559204,0.8162122,0.21640615,0.1985709,0.15885969,70.0,-6.972561,0.0,350.0,0.06
7,0.8175225,0.18639225,0.81508875,0.2188366,0.19916046,0.15956244,80.0,-9.799357,0.0,400.0,0.02
8,0.8165193,0.18580371,0.8140275,0.21738142,0.19889013,0.1612678,90.0,-12.726147,0.0,450.0,0.12
9,0.8171539,0.18601976,0.8153994,0.21751235,0.19909504,0.16231564,100.0,-10.205337,0.2,500.0,0.06
10,0.8179676,0.18549903,0.8159623,0.21640207,0.19940293,0.16329046,110.0,-10.521981,0.1,550.0,0.04
11,0.81979614,0.18191214,0.8184307,0.21244283,0.20000051,0.16220808,120.0,-9.707129,0.1,600.0,0.16
12,0.820741,0.17898118,0.81960136,0.20926332,0.2003385,0.16168211,130.0,-12.258829,0.3,650.0,0.12
13,0.82146066,0.17603983,0.8209891,0.2060975,0.20087364,0.16065916,140.0,-11.7021885,0.2,700.0,0.2
14,0.82289964,0.17317748,0.82279223,0.20305245,0.20105061,0.15970081,150.0,-14.01383,0.4,750.0,0.22
