epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.83948773,0.1087485,0.83530134,0.121192545,0.20593658,0.08904678,10.0,-2.4134736,0.1,50.0,0.02
1,0.8352299,0.121034406,0.8304375,0.13707055,0.2047624,0.09777556,20.0,-3.7546356,0.1,100.0,0.0
2,0.8364296,0.121099375,0.83162785,0.13730794,0.20568152,0.09958827,30.0,-5.881595,0.0,150.0,0.0
3,0.83502835,0.11872556,0.8307732,0.1349731,0.20448938,0.09716382,40.0,-7.0265975,0.1,200.0,0.02
4,0.8316514,0.12039707,0.82730156,0.13593192,0.20454712,0.09963273,50.0,-9.327646,0.0,250.0,0.0
5,0.8314874,0.11997353,0.8269008,0.13604513,0.20424786,0.09833965,60.0,-9.396977,0.0,300.0,0.02
6,0.8303451,0.11836946,0.8264517,0.13387404,0.20316719,0.09750861,70.0,-10.183369,0.1,350.0,0.02
7,0.82907575,0.1195919,0.8251789,0.13453983,0.20293431,0.098333806,80.0,-10.7673,0.1,400.0,0.06
8,0.8301718,0.117043614,0.8264618,0.13112997,0.20314099,0.09853387,90.0,-8.888478,0.1,450.0,0.04
9,0.8301022,0.11671391,0.82738614,0.12993863,0.2027338,0.10279607,100.0,-10.190161,0.1,500.0,0.1
10,0.8305935,0.11599254,0.82784194,0.12887907,0.20222646,0.10301264,110.0,-9.421052,0.3,550.0,0.14
11,0.8316965,0.114699624,0.8294285,0.1273724,0.20218433,0.10433627,120.0,-10.525777,0.3,600.0,0.12
12,0.8332158,0.1141951,0.8310856,0.12681453,0.20218101,0.1053752,130.0,-9.265155,0.3,650.0,0.24
13,0.83462805,0.11376322,0.8328244,0.1262127,0.20226493,0.108072385,140.0,-4.565756,0.5,700.0,0.2
14,0.8353525,0.112166606,0.8338366,0.124321334,0.20178679,0.11035201,150.0,-3.6403499,0.7,750.0,0.32
15,0.8355364,0.11112475,0.8343404,0.12287424,0.20167999,0.1122349,160.0,-4.3837767,0.6,800.0,0.48
16,0.8358109,0.11061094,0.834912,0.12202498,0.20207523,0.11364484,170.0,-4.427081,0.7,850.0,0.48
17,0.83622694,0.10962754,0.8352017,0.12080727,0.20244235,0.11584191,180.0,-2.3678367,0.9,900.0,0.4
18,0.83638835,0.1093329,0.83540314,0.120215796,0.20246913,0.11814063,190.0,-1.7756144,0.9,950.0,0.46
19,0.8367145,0.108554445,0.8358075,0.118988834,0.20283692,0.11899533,200.0,-2.0504766,0.9,1000.0,0.36
20,0.83668905,0.10783095,0.8357002,0.11819136,0.20313758,0.120010614,210.0,-1.3639967,1.0,1050.0,0.54
21,0.83682257,0.10749855,0.835752,0.1175792,0.20341976,0.12199105,220.0,-1.7971108,0.8,1100.0,0.4
22,0.83697146,0.10684812,0.83596617,0.11665092,0.20365688,0.12284085,230.0,-1.257282,1.0,1150.0,0.56
23,0.837121,0.10644033,0.83598024,0.11610261,0.20394224,0.12444971,240.0,-1.24208,1.0,1200.0,0.46
24,0.83735174,0.10563002,0.8361914,0.11510695,0.20405209,0.124471754,250.0,-1.5244119,1.0,1250.0,0.42
25,0.83778614,0.10490253,0.8365552,0.114299335,0.20433399,0.12526323,260.0,-3.8973763,0.8,1300.0,0.3
26,0.8379094,0.10453751,0.83676237,0.1139361,0.2041899,0.12633225,270.0,-1.5817053,0.9,1350.0,0.64
27,0.8382105,0.104141586,0.83721566,0.11336278,0.2046397,0.1269148,280.0,-1.3408732,0.9,1400.0,0.5
28,0.8380654,0.10375077,0.83716893,0.113025986,0.20458847,0.12774183,290.0,-2.1532454,1.0,1450.0,0.44
29,0.83847857,0.103228904,0.837398,0.11246709,0.20471841,0.12805249,300.0,-1.6292692,1.0,1500.0,0.52
30,0.8384914,0.10279419,0.8374579,0.111825936,0.20451975,0.12879027,310.0,-1.4036939,1.0,1550.0,0.58
31,0.8384154,0.10227853,0.8372466,0.111124165,0.20470467,0.12929359,320.0,-1.4571398,1.0,1600.0,0.62
32,0.8386492,0.10201297,0.8375087,0.11078241,0.20467491,0.12938522,330.0,-1.4451667,1.0,1650.0,0.44
33,0.838654,0.10157976,0.8374517,0.11027172,0.20475844,0.12986274,340.0,-1.6573048,1.0,1700.0,0.42
34,0.83866173,0.10138274,0.8375974,0.10990253,0.20493942,0.13042486,350.0,-1.6554245,0.9,1750.0,0.54
35,0.838828,0.100949086,0.8378362,0.109427236,0.20505878,0.13071376,360.0,-1.0134814,1.0,1800.0,0.58
36,0.8387661,0.10072299,0.8377316,0.10908816,0.20506257,0.13150571,370.0,-1.6002648,0.9,1850.0,0.62
37,0.83861566,0.10041762,0.8376604,0.1087135,0.20508161,0.13208658,380.0,-1.0005671,1.0,1900.0,0.32
38,0.83878666,0.09996941,0.83787173,0.10805751,0.20514423,0.13292034,390.0,-1.2710298,1.0,1950.0,0.54
39,0.83877873,0.09964203,0.8377903,0.10763591,0.20516823,0.1335948,400.0,-3.02733,0.9,2000.0,0.46
40,0.8387616,0.09941734,0.8378443,0.10741937,0.20517188,0.13411792,410.0,-1.0545232,1.0,2050.0,0.46
41,0.838795,0.099021405,0.83786017,0.1069204,0.20501396,0.13452181,420.0,-1.1675962,1.0,2100.0,0.58
42,0.8386786,0.09869894,0.8378387,0.106517516,0.20493382,0.13509427,430.0,-0.6726965,1.0,2150.0,0.4
43,0.8384485,0.09879313,0.8375871,0.10662786,0.2049695,0.13513574,440.0,-1.3215173,1.0,2200.0,0.44
44,0.83872646,0.09872172,0.8378995,0.10652799,0.20491241,0.13510667,450.0,-1.4026767,1.0,2250.0,0.5
45,0.83905953,0.09826661,0.83817667,0.10597715,0.20496456,0.13535154,460.0,-1.1342221,1.0,2300.0,0.54
46,0.83905524,0.098220974,0.83828664,0.1058456,0.20502402,0.13557419,470.0,-1.816835,1.0,2350.0,0.5
47,0.83889025,0.09791624,0.83805853,0.10547433,0.20503938,0.13556999,480.0,-1.2127331,1.0,2400.0,0.64
48,0.8390128,0.0979045,0.8381794,0.10544783,0.20524788,0.13562119,490.0,-0.90425444,1.0,2450.0,0.42
49,0.8389037,0.09774672,0.838094,0.10527239,0.20503448,0.13585487,500.0,-0.9734198,1.0,2500.0,0.36
50,0.83902115,0.09790856,0.8382103,0.10552707,0.20486403,0.13654125,510.0,-3.1719177,0.8,2550.0,0.48
51,0.8390949,0.097641416,0.83837867,0.10530122,0.20507334,0.13693003,520.0,-2.2322493,1.0,2600.0,0.36
52,0.8389113,0.09730434,0.83813477,0.10486034,0.20485641,0.13686648,530.0,-1.1657671,1.0,2650.0,0.5
53,0.8389349,0.09706668,0.838092,0.10460496,0.20491225,0.1371693,540.0,-2.465874,0.9,2700.0,0.52
54,0.83885384,0.09684572,0.838013,0.10429696,0.20493083,0.13724521,550.0,-0.9351107,1.0,2750.0,0.6
55,0.8388466,0.096742935,0.83792657,0.10427479,0.20499364,0.1374656,560.0,-3.4828963,0.9,2800.0,0.52
56,0.83886594,0.09700925,0.837948,0.10451832,0.20495974,0.13815789,570.0,-0.9844238,1.0,2850.0,0.48
57,0.83875424,0.09692159,0.8377328,0.10447419,0.20491306,0.13836758,580.0,-1.2924378,1.0,2900.0,0.52
58,0.8387192,0.096884124,0.83781415,0.10446992,0.20489193,0.13854493,590.0,-1.3170627,1.0,2950.0,0.48
59,0.8387931,0.09671711,0.837878,0.104302526,0.20473875,0.13854222,600.0,-1.040841,1.0,3000.0,0.56
60,0.83893156,0.0964638,0.83799386,0.103985555,0.20458782,0.13888419,610.0,-1.0796745,1.0,3050.0,0.5
61,0.83882236,0.09632978,0.8378853,0.103803195,0.20434476,0.13899836,620.0,-1.1791766,1.0,3100.0,0.6
62,0.8388815,0.096138425,0.8379662,0.103597105,0.20437153,0.13910292,630.0,-1.1984737,0.9,3150.0,0.68
63,0.838957,0.09620017,0.83802706,0.10362748,0.20426057,0.13920657,640.0,-1.209653,1.0,3200.0,0.5
64,0.8391281,0.096467964,0.83821684,0.103919126,0.20438841,0.13985628,650.0,-1.3585064,1.0,3250.0,0.54
65,0.8391567,0.096546054,0.8383339,0.104073025,0.20425749,0.14018579,660.0,-0.9224203,1.0,3300.0,0.52
66,0.8390762,0.096734434,0.83827585,0.1042437,0.20432174,0.14039586,670.0,-0.88584363,1.0,3350.0,0.62
67,0.8391506,0.096669585,0.83839935,0.10417271,0.20441931,0.14056848,680.0,-1.2012415,1.0,3400.0,0.42
68,0.8391378,0.096737064,0.8384158,0.104242444,0.20448957,0.1408105,690.0,-1.055412,1.0,3450.0,0.54
69,0.83922386,0.096567065,0.8385015,0.10398191,0.2044672,0.14067088,700.0,-1.4673016,0.9,3500.0,0.56
70,0.8393262,0.096483886,0.83861023,0.10394177,0.2044797,0.14089014,710.0,-1.0890943,1.0,3550.0,0.48
71,0.8392176,0.0963698,0.8385375,0.103826635,0.20429604,0.14101416,720.0,-1.1197302,1.0,3600.0,0.5
72,0.83912176,0.09621037,0.83836985,0.10359263,0.20412384,0.14127646,730.0,-1.3920463,1.0,3650.0,0.5
73,0.83911705,0.09623342,0.8383741,0.10362896,0.20408806,0.14159906,740.0,-0.9763783,0.9,3700.0,0.5
74,0.8390747,0.096146025,0.83831406,0.10347018,0.20411213,0.14167881,750.0,-1.0785849,1.0,3750.0,0.5
