epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8381179,0.08800098,0.83922905,0.096109904,0.20191175,0.05892942,10.0,-2.372086,0.1,50.0,0.04
1,0.8340378,0.11662879,0.8329761,0.13094029,0.20280224,0.08578349,20.0,-4.159999,0.0,100.0,0.0
2,0.83750415,0.11681744,0.8359447,0.13193029,0.2030241,0.087298185,30.0,-4.8198686,0.0,150.0,0.08
3,0.837462,0.11764505,0.83548045,0.13280785,0.20310497,0.093640015,40.0,-7.7071457,0.0,200.0,0.02
4,0.8384736,0.11592743,0.835721,0.1320195,0.20293209,0.09234326,50.0,-9.23888,0.0,250.0,0.02
5,0.83817196,0.12082195,0.8354667,0.1358759,0.20314783,0.09762996,60.0,-10.166723,0.1,300.0,0.0
6,0.8381111,0.12012217,0.83535093,0.13492937,0.20269497,0.09785079,70.0,-11.368083,0.1,350.0,0.08
7,0.83794117,0.11918652,0.8355085,0.13422531,0.20251417,0.09783567,80.0,-10.053621,0.3,400.0,0.02
8,0.8398988,0.11757422,0.8378156,0.13168406,0.2023133,0.09858909,90.0,-14.0295105,0.0,450.0,0.02
9,0.8396635,0.11735847,0.8378076,0.13108079,0.20203003,0.10294093,100.0,-8.221342,0.2,500.0,0.04
10,0.84149724,0.115816705,0.83976936,0.12885234,0.20248203,0.104864314,110.0,-9.650642,0.1,550.0,0.18
11,0.8422556,0.115220934,0.8410495,0.12763661,0.20348667,0.10710945,120.0,-4.6608486,0.4,600.0,0.26
12,0.8426214,0.11466191,0.8415986,0.12707978,0.20358306,0.112375185,130.0,-6.08508,0.3,650.0,0.16
13,0.8429534,0.113901176,0.8414658,0.12640826,0.20375532,0.11556163,140.0,-3.3128617,0.8,700.0,0.22
14,0.8420007,0.11262452,0.8407352,0.1247183,0.20382233,0.11878439,150.0,-2.8982255,0.6,750.0,0.2
15,0.84146065,0.111279726,0.8400062,0.123002864,0.20437159,0.11996566,160.0,-3.8615792,0.7,800.0,0.34
16,0.8412936,0.11042086,0.8396289,0.12175573,0.20507205,0.12370917,170.0,-1.7324337,1.0,850.0,0.38
17,0.8406019,0.109200485,0.839082,0.120141484,0.20496075,0.12432172,180.0,-1.8577111,0.9,900.0,0.42
18,0.84052414,0.108217515,0.83899546,0.11913047,0.20489891,0.12544313,190.0,-2.1797624,1.0,950.0,0.46
19,0.8406307,0.10738111,0.83901983,0.1179156,0.20490055,0.12682073,200.0,-1.6992382,1.0,1000.0,0.54
20,0.8409783,0.10644281,0.83949566,0.11665795,0.20487042,0.12811475,210.0,-1.7672886,0.9,1050.0,0.36
21,0.84038895,0.10546049,0.8389788,0.11545482,0.2042465,0.12962505,220.0,-2.2262096,1.0,1100.0,0.46
22,0.8407878,0.10517921,0.8393628,0.1149716,0.20414011,0.13111085,230.0,-1.4257923,1.0,1150.0,0.58
23,0.8406656,0.10466504,0.8391509,0.11436308,0.20443739,0.13138154,240.0,-2.1013973,0.8,1200.0,0.44
24,0.8402491,0.104015596,0.8388667,0.11337495,0.20427331,0.13227731,250.0,-1.6833636,1.0,1250.0,0.62
25,0.84009296,0.10318145,0.839113,0.11226971,0.20416205,0.13251492,260.0,-1.581886,0.9,1300.0,0.66
26,0.8397452,0.102514744,0.83878857,0.11133904,0.20423254,0.13282046,270.0,-1.3539795,1.0,1350.0,0.58
27,0.8399566,0.10214605,0.8391454,0.11080318,0.2041884,0.13324276,280.0,-1.4930476,1.0,1400.0,0.46
28,0.84,0.10167851,0.83900553,0.11013359,0.20392382,0.13406292,290.0,-1.29532,1.0,1450.0,0.62
29,0.84001654,0.101796746,0.83908224,0.11015638,0.20355695,0.13544033,300.0,-1.5937111,1.0,1500.0,0.68
30,0.8402074,0.10131988,0.8394601,0.10953057,0.20354345,0.13615905,310.0,-1.388387,1.0,1550.0,0.46
31,0.8399697,0.1012746,0.8391709,0.10947483,0.20349854,0.13706301,320.0,-1.3893764,1.0,1600.0,0.5
32,0.83988625,0.10075566,0.83905846,0.10891637,0.2035985,0.13733463,330.0,-2.1832554,1.0,1650.0,0.4
33,0.83993965,0.10031413,0.8389776,0.10833698,0.20351122,0.13743599,340.0,-1.4709401,0.9,1700.0,0.52
34,0.8399834,0.10001654,0.83914596,0.108025886,0.20333104,0.13769951,350.0,-2.616511,0.9,1750.0,0.46
