epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8245943,0.08382247,0.8260226,0.090192884,0.19876704,0.054376177,10.0,-2.6638684,0.0,50.0,0.08
1,0.820642,0.10366422,0.82003087,0.11733297,0.19875626,0.07801059,20.0,-4.2634034,0.1,100.0,0.0
2,0.82776093,0.111968376,0.82465345,0.12876558,0.2014699,0.08823472,30.0,-6.572828,0.0,150.0,0.0
3,0.8279417,0.11304628,0.8245565,0.1296349,0.20160854,0.09008841,40.0,-8.090113,0.1,200.0,0.0
4,0.82881576,0.114375025,0.82536644,0.13123679,0.20145841,0.09195416,50.0,-10.190909,0.0,250.0,0.0
5,0.8298881,0.11813116,0.8258937,0.13515751,0.2020978,0.097819746,60.0,-10.724354,0.1,300.0,0.0
6,0.83175683,0.11936744,0.8278324,0.13616924,0.20186909,0.09953897,70.0,-11.9894285,0.1,350.0,0.02
7,0.83066446,0.12258432,0.82644886,0.13890499,0.20162939,0.10243968,80.0,-11.022367,0.2,400.0,0.02
8,0.83213997,0.120570034,0.8282454,0.13601571,0.20174988,0.10092718,90.0,-12.588572,0.1,450.0,0.08
9,0.83233744,0.120271385,0.8284467,0.13522606,0.2016379,0.102899484,100.0,-13.392407,0.1,500.0,0.02
10,0.8320773,0.118671805,0.8285014,0.13258685,0.2019004,0.10198744,110.0,-17.361088,0.0,550.0,0.18
11,0.8321631,0.11749783,0.82875913,0.13106467,0.20169288,0.10192105,120.0,-10.81229,0.1,600.0,0.12
12,0.83180237,0.118342854,0.82828265,0.1318156,0.20200893,0.103963725,130.0,-8.351898,0.4,650.0,0.06
13,0.832488,0.11734574,0.8289229,0.13052468,0.2026943,0.10519475,140.0,-5.4730587,0.5,700.0,0.18
14,0.832341,0.11632034,0.8291591,0.12925972,0.20290636,0.10785178,150.0,-3.7538574,0.6,750.0,0.34
15,0.83287686,0.11534873,0.83007884,0.1281143,0.20364381,0.10995585,160.0,-5.063399,0.5,800.0,0.26
16,0.83294797,0.11467222,0.8302819,0.12730576,0.20401098,0.11199678,170.0,-1.9472568,1.0,850.0,0.3
17,0.8331876,0.113373905,0.83084565,0.1258207,0.20361851,0.11338742,180.0,-2.7555938,0.9,900.0,0.34
18,0.8337094,0.11185857,0.831558,0.12395219,0.20382077,0.113588974,190.0,-2.0354228,0.8,950.0,0.5
19,0.83409786,0.110845745,0.83174986,0.122773916,0.20381187,0.11400638,200.0,-1.4536507,1.0,1000.0,0.44
20,0.83437324,0.10945537,0.8320868,0.12099984,0.20372404,0.11515843,210.0,-3.2225208,0.9,1050.0,0.56
21,0.83515835,0.10871672,0.8326854,0.11988876,0.20375116,0.11547473,220.0,-2.1892803,0.9,1100.0,0.6
22,0.8356878,0.10804027,0.8330965,0.11903322,0.20409428,0.117172725,230.0,-1.8723049,0.9,1150.0,0.36
23,0.83604795,0.10768879,0.8332755,0.11871024,0.20416321,0.11837434,240.0,-1.1788476,1.0,1200.0,0.4
24,0.836045,0.107040256,0.83304024,0.11789844,0.20395373,0.1194745,250.0,-1.7294576,0.9,1250.0,0.52
25,0.8362587,0.106467135,0.83329815,0.11711913,0.20438425,0.12023643,260.0,-2.3601604,0.9,1300.0,0.54
26,0.83636326,0.10673816,0.8334815,0.11716759,0.20433712,0.12160132,270.0,-0.8022312,1.0,1350.0,0.34
27,0.8366651,0.1059326,0.8337174,0.116069876,0.2041922,0.12188554,280.0,-1.2992153,1.0,1400.0,0.56
28,0.83661103,0.10512557,0.8337841,0.11507601,0.20396133,0.12207048,290.0,-1.4237801,1.0,1450.0,0.44
29,0.8369431,0.10479331,0.83410054,0.114561796,0.20403336,0.12294317,300.0,-1.5259907,1.0,1500.0,0.46
30,0.83716327,0.104180284,0.83456606,0.11378664,0.20382535,0.12328332,310.0,-1.4898324,1.0,1550.0,0.34
31,0.83722,0.10373726,0.8346042,0.11308041,0.20373937,0.12395066,320.0,-1.0492262,1.0,1600.0,0.6
32,0.8372789,0.103579365,0.83469504,0.112839125,0.20362562,0.12411063,330.0,-1.0246098,1.0,1650.0,0.36
33,0.83729815,0.10342743,0.8347431,0.112585485,0.20373951,0.12445747,340.0,-1.436613,1.0,1700.0,0.42
34,0.8372826,0.10292068,0.8348736,0.111991934,0.20375906,0.124487616,350.0,-0.9956244,1.0,1750.0,0.46
35,0.83750945,0.10233685,0.8352265,0.11138252,0.2039792,0.124932736,360.0,-1.1081916,1.0,1800.0,0.54
36,0.8374658,0.102146864,0.835227,0.11118403,0.20401606,0.12558396,370.0,-1.1796291,1.0,1850.0,0.34
37,0.83747125,0.1018554,0.8353122,0.11090713,0.20396793,0.12605011,380.0,-1.0692677,1.0,1900.0,0.66
38,0.83742255,0.101385295,0.83530873,0.11033984,0.20404196,0.12636912,390.0,-1.4606316,0.9,1950.0,0.6
39,0.837517,0.1007759,0.8354818,0.1095768,0.20419663,0.12683064,400.0,-1.689917,1.0,2000.0,0.56
40,0.83783156,0.10048747,0.835891,0.10917001,0.2044314,0.12696582,410.0,-1.2802808,1.0,2050.0,0.56
41,0.83782214,0.099949054,0.8359716,0.10847386,0.20464498,0.12710452,420.0,-1.8440605,1.0,2100.0,0.6
42,0.837986,0.09969324,0.8362739,0.10813225,0.20470385,0.12721571,430.0,-1.1445373,1.0,2150.0,0.64
43,0.83796334,0.09957871,0.83628243,0.107898585,0.20468898,0.12784913,440.0,-1.1370598,1.0,2200.0,0.5
44,0.83817214,0.099401616,0.83653784,0.10753598,0.20471534,0.12853351,450.0,-1.0327326,1.0,2250.0,0.48
45,0.8383467,0.099438526,0.83661985,0.10748899,0.20483814,0.12940158,460.0,-1.5880566,1.0,2300.0,0.66
46,0.83842117,0.099084266,0.83673817,0.10709584,0.20488296,0.12949648,470.0,-1.1573166,1.0,2350.0,0.44
47,0.8382545,0.09917062,0.83664984,0.10712966,0.20486046,0.13002926,480.0,-1.5315003,1.0,2400.0,0.46
48,0.83826286,0.09904721,0.83675987,0.1070356,0.20478077,0.13019328,490.0,-1.429065,1.0,2450.0,0.52
49,0.83829147,0.09879142,0.8367893,0.10675619,0.20475662,0.13049603,500.0,-1.1761591,1.0,2500.0,0.5
50,0.8382979,0.09840063,0.836737,0.106310606,0.2048651,0.13056816,510.0,-1.8024657,0.8,2550.0,0.72
51,0.8384781,0.09823877,0.83680123,0.106099986,0.20492402,0.13113339,520.0,-1.2876856,1.0,2600.0,0.42
52,0.8384814,0.09793278,0.83682865,0.10577395,0.20505096,0.1315083,530.0,-1.4382513,1.0,2650.0,0.5
53,0.83841354,0.09781453,0.83687115,0.10558421,0.20499781,0.13158168,540.0,-1.4144266,1.0,2700.0,0.5
54,0.8383622,0.09772951,0.8367569,0.10551999,0.20493911,0.13179545,550.0,-1.3457682,1.0,2750.0,0.5
55,0.8383567,0.097966336,0.83676165,0.10578719,0.20487323,0.13195781,560.0,-1.3032213,0.9,2800.0,0.46
56,0.8383288,0.09774398,0.836724,0.10546791,0.20468202,0.13191028,570.0,-1.2377523,1.0,2850.0,0.5
57,0.83839226,0.09747907,0.8367224,0.10517862,0.20461749,0.13208224,580.0,-1.5429369,1.0,2900.0,0.54
58,0.83836967,0.09751868,0.8367042,0.10514543,0.20463955,0.13216184,590.0,-1.1041079,1.0,2950.0,0.54
59,0.8383921,0.09755226,0.8367385,0.10512173,0.20450585,0.13248667,600.0,-1.5315702,1.0,3000.0,0.54
60,0.8384523,0.09736816,0.8368399,0.104854815,0.20457563,0.13228503,610.0,-1.2472508,1.0,3050.0,0.7
61,0.8384382,0.09728763,0.8368366,0.10465157,0.20469086,0.13269077,620.0,-1.223218,1.0,3100.0,0.48
62,0.8383741,0.09705022,0.83679676,0.10434546,0.20469153,0.13285951,630.0,-1.6920246,0.8,3150.0,0.54
63,0.83828396,0.09695228,0.83670026,0.10429921,0.20482159,0.13306749,640.0,-1.7669418,1.0,3200.0,0.52
64,0.8383742,0.096860975,0.83671564,0.10419065,0.20493731,0.13331021,650.0,-1.1794152,1.0,3250.0,0.44
65,0.8382426,0.09684967,0.83647233,0.10417817,0.204937,0.13351712,660.0,-1.2800157,1.0,3300.0,0.4
66,0.83822775,0.096806765,0.83653146,0.104111336,0.20493957,0.13334912,670.0,-1.3207014,1.0,3350.0,0.44
