epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8487699,0.09722519,0.20370431,0.037593734,10.0,-2.220998,0.0,50.0,0.02
1,0.84786034,0.091858745,0.20456967,0.04063494,20.0,-4.146393,0.0,100.0,0.06
2,0.84524274,0.09658066,0.2043044,0.041666817,30.0,-6.0230937,0.1,150.0,0.02
3,0.845823,0.09525301,0.20472027,0.04275842,40.0,-8.589486,0.0,200.0,0.0
4,0.8457973,0.0953277,0.20430924,0.047295097,50.0,-8.592947,0.1,250.0,0.0
5,0.84362715,0.0947753,0.203791,0.047107287,60.0,-11.247454,0.0,300.0,0.04
6,0.84451205,0.095790066,0.20392895,0.047262583,70.0,-14.156654,0.0,350.0,0.08
7,0.8445955,0.09547875,0.2039527,0.04703016,80.0,-14.1725235,0.1,400.0,0.04
8,0.84460586,0.09465125,0.20387827,0.052182876,90.0,-15.99394,0.0,450.0,0.04
9,0.8458142,0.09435699,0.20430374,0.051777214,100.0,-18.132235,0.0,500.0,0.02
10,0.84509516,0.095721774,0.20422593,0.05309388,110.0,-14.527069,0.0,550.0,0.0
11,0.8455513,0.09562558,0.20444286,0.053395703,120.0,-20.565556,0.0,600.0,0.04
12,0.8456791,0.09636358,0.20435907,0.054529916,130.0,-21.65701,0.0,650.0,0.0
13,0.84559435,0.09628812,0.20424598,0.05479339,140.0,-16.893425,0.1,700.0,0.04
14,0.84591395,0.09648511,0.20434803,0.05512464,150.0,-18.38763,0.0,750.0,0.02
15,0.8465596,0.09670981,0.20455387,0.0564232,160.0,-20.336575,0.0,800.0,0.0
16,0.84654814,0.096370585,0.20455545,0.057540685,170.0,-20.101965,0.1,850.0,0.08
17,0.8462005,0.096158005,0.2043688,0.05850087,180.0,-18.599707,0.1,900.0,0.02
18,0.8462112,0.09671879,0.20426412,0.059797827,190.0,-17.763935,0.2,950.0,0.06
19,0.84644085,0.096976005,0.20436262,0.059443902,200.0,-22.108395,0.1,1000.0,0.02
20,0.8458187,0.09657771,0.20414327,0.059736453,210.0,-28.418015,0.0,1050.0,0.0
21,0.8460024,0.09651608,0.2042788,0.061434623,220.0,-23.90063,0.1,1100.0,0.06
22,0.8457949,0.09639883,0.2041567,0.06202133,230.0,-24.349354,0.0,1150.0,0.04
23,0.84589154,0.096390456,0.20417522,0.062062036,240.0,-22.155502,0.1,1200.0,0.06
24,0.8460552,0.09637678,0.20422845,0.06264276,250.0,-23.823929,0.1,1250.0,0.06
25,0.8460731,0.09656111,0.20415574,0.063173294,260.0,-27.888783,0.0,1300.0,0.02
26,0.8457758,0.09657774,0.20401016,0.06356206,270.0,-26.834232,0.1,1350.0,0.06
27,0.84533715,0.09715134,0.20389587,0.06560945,280.0,-26.470703,0.0,1400.0,0.04
28,0.8452603,0.09697238,0.20391633,0.06594631,290.0,-28.165493,0.1,1450.0,0.1
29,0.8452769,0.09726652,0.20396149,0.06627704,300.0,-24.762506,0.0,1500.0,0.04
30,0.84505945,0.097204834,0.20394202,0.06710228,310.0,-29.490143,0.0,1550.0,0.06
31,0.8452088,0.09706924,0.20391946,0.06833971,320.0,-23.756842,0.0,1600.0,0.02
32,0.845273,0.097275466,0.20402494,0.06935894,330.0,-22.271759,0.2,1650.0,0.08
33,0.84512615,0.09726352,0.20398492,0.06931696,340.0,-26.82278,0.0,1700.0,0.04
34,0.8452832,0.097706534,0.20399399,0.0698821,350.0,-32.818,0.0,1750.0,0.0
35,0.84488183,0.09812664,0.20389692,0.0708507,360.0,-20.573978,0.1,1800.0,0.02
36,0.84506255,0.09828913,0.20399183,0.07130769,370.0,-31.077076,0.0,1850.0,0.02
37,0.84515494,0.098219484,0.20405136,0.07198019,380.0,-28.070675,0.1,1900.0,0.02
38,0.8454163,0.09856108,0.20405212,0.072360545,390.0,-30.073568,0.0,1950.0,0.0
39,0.8455786,0.09857806,0.20409583,0.0721239,400.0,-33.21331,0.0,2000.0,0.04
40,0.8454745,0.0985445,0.20396085,0.072714396,410.0,-26.362736,0.0,2050.0,0.02
41,0.84546,0.09841616,0.20389327,0.07287041,420.0,-38.910576,0.0,2100.0,0.0
42,0.84525037,0.09839334,0.20380864,0.07344248,430.0,-36.198425,0.0,2150.0,0.04
43,0.8451965,0.09841385,0.2036855,0.07361802,440.0,-24.826622,0.0,2200.0,0.04
44,0.84528977,0.098365806,0.20370601,0.07382243,450.0,-27.947826,0.0,2250.0,0.02
45,0.8452563,0.098524,0.20378038,0.074239425,460.0,-32.325165,0.0,2300.0,0.04
46,0.84546715,0.09839866,0.2038334,0.074176595,470.0,-23.384838,0.0,2350.0,0.04
47,0.84558725,0.09866301,0.20383985,0.07435084,480.0,-31.896374,0.1,2400.0,0.0
48,0.84546995,0.09866267,0.20379865,0.07463968,490.0,-28.916733,0.1,2450.0,0.02
49,0.8452797,0.099416494,0.20373878,0.07583045,500.0,-32.583694,0.0,2500.0,0.12
50,0.84529996,0.09984586,0.20373179,0.07635045,510.0,-30.603413,0.1,2550.0,0.04
51,0.84546405,0.09989896,0.20377955,0.07652645,520.0,-29.464611,0.0,2600.0,0.06
52,0.8455313,0.099909686,0.20383221,0.0765461,530.0,-28.171747,0.0,2650.0,0.02
53,0.84542817,0.09988406,0.20378079,0.07662961,540.0,-27.830439,0.0,2700.0,0.02
54,0.84539443,0.100052774,0.20366554,0.07707253,550.0,-27.697382,0.0,2750.0,0.02
55,0.8452652,0.100007564,0.20365469,0.07706609,560.0,-30.177124,0.0,2800.0,0.06
56,0.8452727,0.09987265,0.20368582,0.07702566,570.0,-26.537968,0.1,2850.0,0.1
57,0.8455077,0.1001934,0.20368765,0.07752533,580.0,-34.607452,0.0,2900.0,0.0
58,0.8452882,0.100124694,0.2036812,0.07774922,590.0,-23.674288,0.0,2950.0,0.02
59,0.84513956,0.10006014,0.203605,0.07772443,600.0,-31.978052,0.0,3000.0,0.02
60,0.845185,0.09993377,0.20366919,0.07784161,610.0,-22.371984,0.1,3050.0,0.02
61,0.84531385,0.09993281,0.20372362,0.07779116,620.0,-27.234737,0.0,3100.0,0.04
62,0.84517914,0.10001361,0.20367216,0.078027956,630.0,-35.398808,0.1,3150.0,0.04
63,0.8451366,0.10016952,0.203622,0.0784317,640.0,-29.804977,0.0,3200.0,0.04
64,0.84507364,0.09999621,0.20363365,0.07844285,650.0,-20.723225,0.2,3250.0,0.04
65,0.8449872,0.09995248,0.20360611,0.0787197,660.0,-23.903112,0.1,3300.0,0.06
66,0.84510183,0.10015458,0.2036261,0.07879927,670.0,-33.762455,0.0,3350.0,0.02
67,0.84494585,0.10045254,0.20369224,0.07971481,680.0,-24.55502,0.1,3400.0,0.02
68,0.8449996,0.10056559,0.20372324,0.08008364,690.0,-25.729656,0.0,3450.0,0.04
69,0.84483117,0.10090748,0.20369257,0.08063322,700.0,-21.616589,0.1,3500.0,0.06
70,0.84499836,0.10080805,0.20376316,0.08056754,710.0,-34.338142,0.0,3550.0,0.0
71,0.84498745,0.10074919,0.20365621,0.081008196,720.0,-23.263721,0.1,3600.0,0.0
72,0.8449297,0.10072994,0.20368166,0.08114436,730.0,-22.653652,0.0,3650.0,0.02
73,0.8449971,0.10067237,0.2036925,0.08095738,740.0,-31.244572,0.0,3700.0,0.06
74,0.8450783,0.100608714,0.20370911,0.08086266,750.0,-26.477625,0.0,3750.0,0.06
75,0.8450177,0.10093474,0.20365706,0.08084657,760.0,-32.971394,0.0,3800.0,0.06
76,0.84494203,0.100831896,0.20367846,0.08081932,770.0,-26.983784,0.0,3850.0,0.0
77,0.84493494,0.100788034,0.20371749,0.080854185,780.0,-34.68426,0.0,3900.0,0.0
78,0.84503007,0.10067132,0.20374933,0.08075541,790.0,-31.125317,0.1,3950.0,0.06
79,0.84489274,0.10086468,0.20370935,0.08079208,800.0,-27.93928,0.0,4000.0,0.02
80,0.84481484,0.10073844,0.20369203,0.08081917,810.0,-24.563519,0.1,4050.0,0.02
81,0.84478444,0.10060846,0.20370394,0.081184864,820.0,-27.110825,0.0,4100.0,0.04
82,0.8447066,0.10085886,0.2036777,0.08158189,830.0,-25.271374,0.1,4150.0,0.04
83,0.84473634,0.10093654,0.20369586,0.08193967,840.0,-26.355927,0.0,4200.0,0.04
84,0.8446443,0.10087145,0.20365578,0.082101405,850.0,-22.022217,0.0,4250.0,0.02
85,0.8446587,0.100846685,0.20364344,0.0824106,860.0,-27.349487,0.2,4300.0,0.02
86,0.84480983,0.10091633,0.2037072,0.08249787,870.0,-34.821587,0.0,4350.0,0.16
87,0.84478885,0.10104903,0.2037106,0.08255348,880.0,-27.377798,0.0,4400.0,0.14
88,0.8446152,0.10098786,0.203669,0.082870595,890.0,-27.985153,0.1,4450.0,0.06
89,0.84453416,0.10089477,0.20359012,0.08323433,900.0,-33.239807,0.0,4500.0,0.1
90,0.8445897,0.10080516,0.2036654,0.08364429,910.0,-29.34693,0.0,4550.0,0.04
91,0.8446569,0.10083694,0.20366816,0.08381969,920.0,-26.612347,0.0,4600.0,0.06
92,0.84470415,0.10109881,0.20364074,0.08396696,930.0,-28.364176,0.0,4650.0,0.06
93,0.8446677,0.10098579,0.20362307,0.08390028,940.0,-30.28898,0.0,4700.0,0.08
94,0.8446038,0.10105572,0.20361094,0.08426333,950.0,-24.222073,0.1,4750.0,0.1
95,0.84458524,0.10100231,0.20358309,0.084185384,960.0,-27.574732,0.1,4800.0,0.04
96,0.84458,0.100905,0.20359503,0.084313065,970.0,-31.81751,0.1,4850.0,0.08
97,0.8445429,0.10075957,0.20359823,0.084429614,980.0,-25.263393,0.2,4900.0,0.02
98,0.84451485,0.10092711,0.20358011,0.084580034,990.0,-33.239265,0.0,4950.0,0.02
