epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.81415296,0.11817327,0.8148739,0.1333586,0.1957616,0.095601246,10.0,-2.250092,0.0,50.0,0.0
1,0.8235577,0.12178648,0.82069284,0.14063339,0.19899149,0.09495194,20.0,-2.9833763,0.1,100.0,0.0
2,0.8291283,0.117930554,0.8265228,0.13585585,0.19956212,0.093307525,30.0,-5.4880233,0.0,150.0,0.0
3,0.8267388,0.12028455,0.8237559,0.13773683,0.20013374,0.099723466,40.0,-6.8886437,0.1,200.0,0.0
4,0.82425976,0.12687959,0.8205418,0.143178,0.20095578,0.10751243,50.0,-8.201988,0.1,250.0,0.0
5,0.8250112,0.126698,0.82078093,0.14244546,0.2016953,0.10777244,60.0,-9.654566,0.1,300.0,0.02
6,0.8280895,0.12649266,0.82455736,0.14218904,0.20128849,0.10929842,70.0,-9.454289,0.1,350.0,0.04
7,0.82869726,0.123425335,0.8254466,0.13875502,0.20181249,0.10857886,80.0,-11.805969,0.0,400.0,0.08
8,0.8305207,0.12297404,0.82745427,0.13745417,0.20225082,0.11074296,90.0,-6.5125694,0.5,450.0,0.14
9,0.8307287,0.12154322,0.8279176,0.1354056,0.20228507,0.11376258,100.0,-3.0793707,0.7,500.0,0.12
10,0.83121514,0.12026515,0.8283984,0.13345213,0.2014112,0.11660871,110.0,-2.2835536,0.8,550.0,0.3
11,0.83283156,0.117538,0.8298659,0.13018496,0.20098232,0.12002566,120.0,-4.2152524,0.7,600.0,0.2
12,0.83334976,0.11630052,0.8301978,0.12872113,0.2010956,0.12192008,130.0,-1.2608514,0.9,650.0,0.4
13,0.8334449,0.11398089,0.83059865,0.1257811,0.20108652,0.1218701,140.0,-1.8498045,1.0,700.0,0.44
14,0.83383375,0.11200447,0.8312037,0.12350613,0.2012419,0.12224116,150.0,-1.8735011,1.0,750.0,0.46
15,0.8338801,0.11014959,0.8314703,0.121384196,0.20183045,0.12488928,160.0,-1.4811559,1.0,800.0,0.62
